//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;
$_Languages;;;
7(5) Allemand (Liechtenstein);12(1) Français (France);9(1) Anglais (États-Unis);
10194;Cartouche bloquée par le contrôleur.;Submodule is block by the controller;
26578;;;
10196;Une application accède à la cartouche.;An application is accessing the submodule;
26580;;;
10199;Cartouche incorrecte, mais compatible avec la configuration;Wrong submodule but it is compatible with the configuration;
26583;Comme la cartouche est compatible avec la configuration, aucune action n'est requise.;The submodule is compatible with the configuration so no action is necessary.;
1960;;;
18344;;;
5352;Court-circuit;Short circuit;
21736;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines.;
8744;Sous-tension;Low voltage;
25128;Contrôlez l'alimentation en tension.;Verify the power supply.;
12136;Surtension;Overvoltage;
28520;Contrôlez l'alimentation en tension.;Verify the power supply.;
15528;Surcharge;Overload;
31912;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Check the technical specifications of the  connected components and the configuration.;
2608;Surchauffe;Overtemperature;
18992;Contrôlez les caractéristiques techniques des composants liés.;Check the technical specifications of the connected components.;
6000;Rupture de fil;Wire break;
22384;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines.;
9392;Limite supérieure dépassée;High limit exceeded;
25776;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Check the technical specifications of the  connected components and the configuration.;
12784;Limite inférieure sous-dépassée;Low limit exceeded;
29168;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Check the technical specifications of the  connected components and the configuration.;
16176;Erreur;Error;
32560;;;
3256;Simulation active;Simulation active;
19640;;;
6648;réservé;Reserved;
23032;;;
10040;réservé;Reserved;
26424;;;
13432;réservé;Reserved;
29816;;;
512;réservé;Reserved;
16896;;;
3904;Paramètre manquant;Parameter missing;
20288;;;
7296;Erreur de paramétrage;Parameter assignment error;
23680;Cause : paramètres de module incorrects. Solution : vérifiez et corrigez les paramètres. Rechargez ensuite les paramètres.;Cause: Bad module parameter. Remedy: Check and correct parameter. Then reload.;
10688;Absence de tension capteur ou de charge;Power supply fault;
27072;Cause : absence de tension d'alimentation. Solution : vérifiez le câblage ou branchez l'alimentation.;Cause: No power supply. Remedy: Check wiring or turn on power supply.;
14080;Fusible defectueux;Fuse blown / open;
30464;Cause : surcharge. Solution : supprimez la cause de la surcharge. Remplacez ensuite le fusible.;Cause: Overload. Remedy: Remove cause of overload. The replace fuse.;
1160;Emplacement non accessible;Slot cannot be addressed;
17544;Cause : erreur de communication à cause multiple. Solution : dépend de la cause.;Cause: Communication error with various possible causes. Remedy: Depends on cause.;
4552;Défaut à la masse;Ground fault;
20936;Cause : dépassement de la tension mode commun ou rupture du câble M. Solution : vérifiez et corrigez le câblage.;Cause: Common mode voltage exceeded or M cable disconnected. Remedy: Check wiring and correct.;
7944;Erreur de voie de référence;Reference point list;
24328;Cause : erreur de voie de référence. Solution : voir le manuel.;Cause: Error on reference channel. Remedy: See manual.;
11336;Alarme de processus perdue;Process event lost / sampling error;
27720;Cause : alarme de processus. Solution : modifiez le traitement de l'alarme par la CPU ou modifiez le paramétrage du module.;Cause: Hardware interrupt. Remedy: Change interrupt handling of the CPU or change parameter assignment of  module.;
14728;Avertissement actionneur;Threshold warning;
31112;Cause : actionneur signale un dépassement d'une valeur limite. Solution : vérifiez la compatibilité du module et de l'actionneur.;Cause: Actuator signaling a limit value violation. Remedy: Check interaction of module and actuator.;
1808;Coupure actionneur;Output disabled;
18192;Cause : problème d'actionneur détecté. Solution : supprimez la cause du problème.;Cause: Problem detected on actuator. Remedy: Find and eliminate cause.;
5200;Arrêt de sécurité;Safety event;
21584;Cause : erreur de voie détectée. Solution : vérifiez la voie et supprimez l'erreur.;Cause: Error detected on channel. Remedy: Check channel and correct problem..;
8592;Défaut externe;External fault;
24976;Cause : Erreur de capteur/actionneur détectée. Solution : remplacez le capteur/actionneur ou vérifiez le câblage.;Cause: Problem detected on sensor/actuator. Remedy: Replace sensor/actuator or check wiring.;
11984;Défaut non spécifié;Unidentified error;
28368;Cause : ne peut être spécifiée. Solution : voir le manuel.;Cause: Cannot be specified in greater detail. Remedy: See manual.;
15376;réservé;Reserved;
31760;;;
2456;Erreur 1 dans actionneur / capteur;Fault 1 in actuator/sensor;
18840;;;
5848;Erreur 2 dans actionneur / capteur;Fault 2 in actuator/sensor;
22232;;;
9240;Erreur temporaire;Temporary error;
25624;;;
12024;Linkup illicite;Illegal linkup;
28408;Etat de connexion différent des spécifications de l'enregistrement de paramétrage 200;Link status different from setting in parameter data record 200;
15416;Linkdown illicite;Illegal linkdown;
31800;Etat de connexion différent des spécifications de l'enregistrement de paramétrage 200;Link status different from setting in parameter data record 200;
2496;Vitesse de transmission illicite;Illegal transmission rate;
18880;Vitesse de transmission différente des spécifications de l'enregistrement de paramétrage 3;Transmission rate different from setting in parameter data record 3;
5888;Duplexity illicite;Illegal duplexity;
22272;Duplexity différente des spécifications de l'enregistrement de paramétrage 3;Duplexity different from setting in parameter data record 3;
9280;Surcharge de trames;Frame overload;
25664;Les télégrammes rejetés dépassent le seuil spécifié dans l'enregistrement de paramétrage 2;More or less discarded frames than set as threshold value in parameter data record 2;
5776;Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20100120@;Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20100120@;
22160;Aide : transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20100120@;
7472;Pas de connexion physique au port;No physical connection on port;
23856;Une surveillance de port a été configurée, mais il n'existe pas de connexion physique au port.
 Causes possibles :
 - pas de câble enfiché
 - câble défectueux
 - câble incorrect pour paramètres de port fixes
 - appareil partenaire désactivé;Port monitoring was configured, there is however no physical connection on the port.
 Possible causes:
 - No cable plugged in
 - Cable defective
 - Wrong cable with fixed port settings
 - Partner device turned off;
7473;Erreur pour "Support de transmission/Duplex";Error with "Transfer medium/duplex";
23857;"Support de transmission / Duplex" a été configuré ; la sélection de port déterminée par Autonegotiation ne correspond pas à la configuration.
 Causes possibles :
 - le partenaire fonctionne avec une présélection fixe de port
 - le partenaire ne prend pas ;"Transfer medium / duplex" was configured; the current port setting resulting from autonegotiation does not match the configured setting.
 Possible causes:
 - The partner is operating with a fixed but different port setting
 - The partner does not support ;
7474;Erreur à la vérification des données de câble;Error during cable data check;
23858;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 - Le câblage réel ne correspond pas à la connexion du port configurée.
 - Les données de câble ne peuvent pas être contrôlées, car le partenaire ne prend pas en charge la mesur;Possible causes:
 - The discovered cable length is longer than the one configured.
 - The actual cabling does not match the configured port interconnection.
 - The cable data could not be checked because the partner does not support cable length measuremen;
9168;Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20100120@;Remote mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
25552;Aide : erreur partenaire; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Remote mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
10864;Partenaire incorrect;Wrong partner;
27248;Une connexion de port a été configurée, un autre partenaire a été déterminé pour le port.
Solutions :
 - modifier le câblage de la connexion de port
 - écrire le nom du partenaire dans la connexion de port;A port interconnection was configured but a different partner was detected at the port.
Remedies:
 - Adapt the cabling of the configured port interconnection
 - Adopt the device name of the partner in the port interconnection;
10865;Port partenaire incorrect;Wrong partner port;
27249;Une connexion de port a été configurée, un autre port partenaire a été déterminée pour le port.

 Solutions :
 - modifier le câblage de la connexion de port configurée
 - modifier la connexion de port dans la configuration;A port interconnection was configured but a different partner port was detected at the port.

 Remedy:
 - Adapt the cabling of the configured port interconnection
 - Adapt the port interconnection in the configuration;
10866;IRT (Top Performance) impossible sur ce port;IRT (top performance) not possible at this port;
27250;Causes possibles :
 - Autres erreurs de communication sur ce port ou sur le port partenaire empêchent IRT (solution : voir autres diagnostics, remédier d'abord à ceux-ci)
 - port partenaire configuré incorrect pour le mode IRT, c-à-d. configuration manquan;Possible causes:
 - Other communications errors on this or on the partner port are preventing IRT (remedy: refer to other diagnostic information, eliminate these problems first)
 - Partner port is not correctly configured for IRT mode, i.e. bad or old conf;
10867;Incohérence pour "Support de transmission / Duplex";Inconsistency in "transmission medium / duplex";
27251;"Support de transmission/Duplex" a été configuré ; les options sélectionnées pour le port ne sont pas compatibles avec celles sélectionnées pour le port partenaire.
 Causes possibles :
 - Le partenaire fonctionne avec des options fixes prédéfinies différen;"Transmission medium/duplex" was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The partner is operating with fixed but different port settings
 - Media converter, hub or non PNIO compliant de;
10868;Incohérence de la configuration MRP / du câblage;Inconsistent MRP configuration / wiring;
27252;Domaine MRP configuré ; la sélection locale du port ne correspond pas à celle du port partenaire.
 Causes possibles :
 - les ports ne sont pas correctement connectés; un port anneau est connecté à un port non anneau
 - le partenaire n'a pas de configuratio;MRP domain was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The ports are incorrectly connected; a ring port was connected to a non-ring port
 - The partner has no or an unsuitable configura;
10869;Le voisin n'a pas pu être détecté;The neighbor could not be identified;
27253;Une connexion de port a été configurée, un partenaire précis n'a pas été détecté pour le port.
 Causes possibles :
 - appareil non conforme PN-IO connecté à ce port
 - connexion de port configurée, mais aucun appareil connecté ou appareil partenaire désact;A port interconnection was configured but a single partner was not detected at the port.
 Possible causes:
 - Non PNIO compliant device connected to this port
 - Port interconnection configured but no device connected or partner device turned off, cable de;
10870;Incohérence de la configuration MRRT;Inconsistent MRRT configuration;
27254;L'attribut MRRT  a été configuré; les options sélectionnées pour le port ne sont pas compatibles avec celles du port partenaire.
 Causes possibles :
 - Le partenaire n'a pas de configuration ou a une configuration incompatible
 - Le partenaire ne prend pas;The MRRT feature was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The partner has no or an unsuitable configuration
 - The partner does not support the MRRT feature;
10871;Différence à la détermination de longueur de câble;Difference in cable length measurement;
27255;"Support de transmission / Duplex" a été configuré. Les deux partenaires ont déterminé des longueurs de câble différentes de @2D%1d@ ns. Des causes possibles sont :
 - Utilisation du convertisseur de supports de transmission
 - Appareil non conforme à PN-I;"Transmission medium / Duplex" was configured. The two partners have cable lengths that differ by @2D%1d@ ns. Possible causes may be:
 - Use of media converter
 - Non PN-IO conform device connected to this port

 Remedy: Adapt configuration and select "Aut;
11288;Nom de domaine Sync utilisé plusieurs fois;Sync domain name used more than once;
27672;Deux domaines Sync de même nom ont été configurés dans le réseau Ethernet.
Solution : modifier la configuration
- séparer plusieurs domaines Sync par des fins de Boundaries (recommandation de principe pour limiter la propagation des télégrammes Multicastfr;Two sync domains with the same name were configured in the Ethernet subnet.
Remedy: Adapt the configuration
- Separate multiple sync domains with end of the sync domain boundaries (this is a basic recommendation to limit the propagation of the multicast fr;
12560;Erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20100120@;Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
28944;Aide : erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
14256;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;Redundancy manager cannot adopt the configured role;
30640;Signifie que le gestionnaire de redondance configuré remplit le rôle de client et qu'un gestionnaire de redondance ayant une plus haute priorité assume le rôle de gestionnaire et surveille l'anneau.
Solution : Configurez pour tous les appareils ne devant p;Indicates that the configured redundancy manager adopts the role of client, another higher-priority redundancy manager has taken over the role of manager and is monitoring the ring.
Remedy: Configure the client role on all devices that are not intended to ;
14257;Anneau ouvert;Ring opened;
30641;Indique que l'anneau est interrompu unilatéralement. La redondance n'est plus garantie.
Causes possibles :
 - un câble de liaison entre les deux ports anneau est défectueux.
 Solution : remplacer le câble anneau défectueux;Indicates that the ring has been interrupted. Redundancy is no longer effective.
Possible causes:
 - A connecting cable between ring ports is defective.
 Remedy: Replace defective ring cable;
14258;Redondance RT plus garantie;RT redundancy not effective;
30642;Indique que l'anneau n'est pas fermé pour la communication RT. Causes possibles :
 - une ou plusieurs stations dans l'anneau prennent en charge la redondance NRT mais pas la redondance RT de l'anneau
 - une ou plusieurs stations prennent en charge la redon;Indicates that the ring is not closed for RT communication. Possible causes:
 - There are one or more stations in the ring that support NRT ring redundancy but not RT redundancy
 - One or more stations support RT redundancy however they were not enabled.
 ;
14259;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;There is more than one redundancy manager in the ring;
30643;Indique que plusieurs appareils assument le rôle de gestionnaire de redondance dans l'anneau. L'état de l'anneau est instable.
Causes possibles :
 au sein de l'anneau se trouve un appareil prenant en charge le rôle de gestionnaire de redondance et des appa;Indicates that more than one device in the ring adopts the redundancy manager role. The ring status is unstable.
Possible causes:
 There is a device in the ring that only supports the redundancy manager role along with devices with automatic manager/client;
15952;Perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20100120@;Sync mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
32336;Aide : perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Sync mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
1336;L'esclave Sync ne sera pas synchronisé;Sync slave will not be synchronized;
17720;La station est un esclave Sync et n'est pas synchronisée.
Causes possibles :
 - le maître Sync n'est pas disponible (solution : activer le maître Sync, contrôler le câble)
 - entre le maître Sync et cette station se trouvent des appareils ne prenant pas en;The station is a sync slave and it is not synchronized.
Possible causes:
 - The sync master is not available (Remedy: Turn on sync master, check cable)
 - there are devices that are not sync-compliant between the sync master and this station (Remedy: Adapt;
1339;Station non synchrone;Station not synchronized;
17723;La synchronisation se trouve hors de la plage de tolérance ; le signal de référence ne possède pas la précision requise.
Causes possibles :
 - la station se synchronise de nouveau; ceci est un état temporaire
 - le signal de référence perd sa précision req;Synchronization is outside the range of tolerance; the reference signal is not accurate enough.
Possible causes:
 - Station resynchronizes itself; this is a temporary status
 - The reference signal loses its required accuracy on the transmission path (reme;
3032;Erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
19416;Aide : erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
6424;Erreur Multicast CR; @5W%t#A02A-SCALANCE_X200-20100120@;Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
22808;Aide : Erreur CR Multicast; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
9816;réservé; @5W%t#A02A-SCALANCE_X200-20100120@;Reserved; @5W%t#A02A-SCALANCE_X200-20100120@;
26200;Aide : réservée; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Reserved; @5W%t#A02A-SCALANCE_X200-20100120@;
13208;Erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20100120@;Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
29592;Aide : erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
14904;Réserve système FO critique;FO link power margin critical;
31288;La réserve système FO se trouve en -dessous du seuil @2D%1d@ dB 
Solution : nettoyer ou remplacer le câblage FO;The FO link power margin is below the @2D%1d@ dB threshold
Remedy: Clean or replace the FO cabling immediately;
288;Erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20100120@;Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
16672;Aide : erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
1984;Paquets de données rejetés pour surcharge;Data packets discarded due to overload;
18368;@2D%1d@ paquets de données au minimum ont été rejetés en raison d'un manque temporaire de ressources.
Causes possibles :
 - réservation de largeur de bande pour IRT et charge supplémentaire NRT (solution : réserver une largeur de bande moins grande)
 - reg;At least @2D%1d@ data packets were discarded due to a lack of resources.
Possible causes:
 - High bandwidth reservation for IRT and additional NRT load (Remedy: reduce bandwidth reservation)
 - Bundling of small communication load from various sources on o;
3680;Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
20064;Aide : erreur de temporisation; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
2632;Configuration incohérente/Spécification du routeur par défaut;Inconsistent configuration / specification of the standard gateway;
19016;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
Attention : Il n'est pas possible de dire quel routeur par défaut sera utilisé pour cet appareil !;A standard gateway has been configured for at least one additional interface that differs from the one specified.
Caution: For this device it is not clear which of the configured standard gateways will be active.;
2633;Configuration incohérente/Spécification du NameOfStation;Inconsistent configuration/specification of the NameOfStation;
19017;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce module. Il est identique au nom par défaut de cette interface.;A NameOfStation which is identical to the specification for this interface has already been configured/specified for another interface of this module.;
2634;Configuration incohérente/Spécification de l'adresse IP;Inconsistent configuration/specification of the IP address;
19018;Une adresse IP a déjà été configurée/attribuée pour une autre interface. Elle se trouve dans le même sous-réseau que l'adresse IP de cette interface.;An IP address which is in the same subnet as the IP address of this interface has already been configured/assigned for another interface.;
14928;Pas d'alimentation redondante;No redundant PS;
31312;Alarme arrivante en l'absence d'alimentation redondante;Alarm entering state when there is no redundant PS;
14930;C-PLUG introuvable;C-PLUG not found;
31314;Alarme arrivante en l'absence de C-PLUG;Alarm entering state when no C-PLUG was inserted;
14932;C-PLUG défectueux;C-PLUG defective;
31316;Alarme arrivante lorsque le C-PLUG est défectueux;Alarm entering state when C-PLUG is defective;
14934;Le C-PLUG est incorrect;wrong C-PLUG;
31318;Alarme apparaissante si aucun C-PLUG n'a incorrect;Incoming alarm when wrong C-PLUG is plugged in;
8256;;;
24640;;;
11648;Court-circuit;Short circuit;
28032;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines.;
15040;Sous-tension;Low voltage;
31424;Contrôlez l'alimentation en tension.;Verify the power supply.;
2120;Surtension;Overvoltage;
18504;Contrôlez l'alimentation en tension.;Verify the power supply.;
5512;Surcharge;Overload;
21896;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Check the technical specifications of the  connected components and the configuration.;
8904;Surchauffe;Overtemperature;
25288;Contrôlez les caractéristiques techniques des composants liés.;Check the technical specifications of the connected components.;
12296;Rupture de fil;Wire break;
28680;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines.;
15688;Limite supérieure dépassée;High limit exceeded;
32072;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Check the technical specifications of the  connected components and the configuration.;
2768;Limite inférieure sous-dépassée;Low limit exceeded;
19152;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Check the technical specifications of the  connected components and the configuration.;
6160;Erreur;Error;
22544;;;
9552;Simulation active;Simulation active;
25936;;;
12944;réservé;Reserved;
29328;;;
24;réservé;Reserved;
16408;;;
3416;réservé;Reserved;
19800;;;
6808;réservé;Reserved;
23192;;;
10200;Paramètre manquant;Parameter missing;
26584;;;
13592;Erreur de paramétrage;Parameter assignment error;
29976;Cause possible : Le module n'est pas paramétré ou est mal paramétré.  Solution : corrigez le paramétrage.;Possible Cause: Module either not at all or incorrectly assigned parameters.  Error remedy: Correct the parameter assignment.;
672;Le connecteur frontal, la tension de capteur ou de charge manque.;Front connector missing, sensor or load voltage missing;
17056;Cause possible : La tension d'alimentation manque ou est trop basse.  Solution : Vérifier le connecteur frontal. Corriger le câblage au processus. Vérifier la tension d'alimentation.;Possible cause: Supply voltage missing or too low.  Remedy: Check front connector. Correct the process wiring. Check the supply voltage.;
4064;Fusible défectueux.;Fuse defective;
20448;Cause possible : Le fusible échangeable par l'utilisateur est tombé.  Solution : Remplacement du fusible.;Possible Cause: User's replaceable fuse fallen.  Error remedy: Exchange the fuse.;
7456;Erreur de communication;Communication error;
23840;Cause possible : Communication au module perturbée.  Solution : vérifiez le paramètre de l'adresse.;Possible Cause: Communication to the module interrupted. Error remedy: Check the address parameter.;
10848;Erreur de masse;Ground error;
27232;Cause possible : Dépassement du Common Mode admissible pour les voies liées à la masse ou coupure de la ligne à la masse pour les voies avec séparation galvanique.  Solution : Correction du câblage au processus.;Possible Cause: Exceeding the allowable common mode at non-isolated channels or chopping the ground line for non-isolated channels. Error remedy: Correct the process wiring.;
14240;Erreur sur voie de référence;Reference channel error;
30624;Cause possible : Erreur sur voie de référence.  Solution : vérifiez le module de référence (2AI RTD ST).;Possible Cause: Error on the reference channel. Error remedy: Check the reference module (2AI RTD ST).;
1320;Alarme de processus perdue ou erreur de message;Process interrupt lost or message error;
17704;Cause possible : Erreur de cadre, erreur de parité.  Solution : vérifiez les options de communication.;Possible Cause: Frame error, parity error. Error remedy: Check the communication settings.;
4712;Avertissement;Warning;
21096;Cause possible : Dépassement des seuils d'actionneur (vitesse, courant de charge).  Solution : correction de la justesse des paramètres.;Possible Cause: Exceeding the actuator limit value (rotational speed, load current). Error remedy: Correct the tuning.;
8104;Arrêt;Shutoff;
24488;Cause possible : Déclenchement d'un disjoncteur à cause d'un court-circuit, d'une disymmétrie, d'un défaut à la terre ou déclenchement d'une thermistance ou Quick-Stop.  Solution : supprimez la cause de l'arrêt et acquittez.;Possible Cause: Trigger a line switch due to short circuit, or asymmetry or ground fault or trigger a Thermistor or Quick Stop. Error remedy: Eliminate the cause of the shutoff and acknowledge.;
11496;Arrêt de sécurité;Fail-safe shutoff;
27880;Cause possible : Présence d'un déclencheur d'arrêt de sécurité.  Solution : corrigez la cause de l'arrêt et acquittez.;Possible Cause: Trigger for fail-safe shutoff is present.  Error remedy: Eliminate the cause of the shutoff and acknowledge.;
14888;Erreur externe;external error;
31272;Cause possible : Rupture de fil ou court-circuit des signaux du capteur ou câble du capteur non raccordé ou capteurs programmables ne correspondent pas aux options sur le module.  Solution : Remplacement du capteur, correction du câblage au processus , cor;Possible Cause: Wire break or short circuit of the  encoder signal or encoder cable not connected or programmable encoders do not correspond to the settings on the module. Error remedy: exchange the encoder, correct the process wiring, correct the paramete;
1968;Erreur indéfinie;ambiguous error;
18352;Cause possible : Une procédure d'apprentissage est en cours. Une aide à l'ajustage est active (pour 4 IQ-SENSE). Erreur ne pouvant être spécifiée plus avant.  Solution : mettre fin à l'apprentissage. Mettre fin à l'aide à l'ajustage (pour 4 IQ-SENSE);Possible Cause: Teach-in process running. Alignment tool is active (for 4 IQ-SENSE). Otherwise, cannot be specified in more detail.  Error remedy: Terminate the Teach-in process. Terminate the alignment tool (for 4 IQ-SENSE);
5360;réservé;Reserved;
21744;;;
8752;Erreur 1 dans actionneur / capteur;Fault 1 in actuator/sensor;
25136;;;
12144;Erreur 2 dans actionneur / capteur;Fault 2 in actuator/sensor;
28528;;;
15536;Voie temporairement indisponible;Channel temporarily not available;
31920;Cause possible : Calibrage, mise à jour du firmware, mode manuel ...;Possible cause: Calibration, firmware update, manual operation, ...;
12072;Transmission de données impossible; @5W%t#ET200S-20110429@;Data transmission impossible; @5W%t#ET200S-20110429@;
28456;Aide : transmission de données impossible; @5W%t#ET200S-20110429@;Help: Data transmission impossible; @5W%t#ET200S-20110429@;
13768;Pas de connexion physique au port;No physical connection on port;
30152;Une surveillance de port a été configurée, mais il n'existe pas de connexion physique au port.
 Causes possibles :
 - pas de câble enfiché
 - câble défectueux
 - câble incorrect pour paramètres de port fixes
 - appareil partenaire désactivé;Port monitoring was configured, there is however no physical connection on the port.
 Possible causes:
 - No cable plugged in
 - Cable defective
 - Wrong cable with fixed port settings
 - Partner device turned off;
13769;Erreur pour "Support de transmission/Duplex";Error with "Transfer medium/duplex";
30153;"Support de transmission / Duplex" a été configuré ; la sélection de port déterminée par Autonegotiation ne correspond pas à la configuration.
 Causes possibles :
 - le partenaire fonctionne avec une présélection fixe de port
 - le partenaire ne prend pas ;"Transfer medium / duplex" was configured; the current port setting resulting from autonegotiation does not match the configured setting.
 Possible causes:
 - The partner is operating with a fixed but different port setting
 - The partner does not support ;
13770;Erreur à la vérification des données de câble;Error during cable data check;
30154;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 - Le câblage réel ne correspond pas à la connexion du port configurée.
 - Les données de câble ne peuvent pas être contrôlées, car le partenaire ne prend pas en charge la mesur;Possible causes:
 - The discovered cable length is longer than the one configured.
 - The actual cabling does not match the configured port interconnection.
 - The cable data could not be checked because the partner does not support cable length measuremen;
15464;Erreur partenaire; @5W%t#ET200S-20110429@;Remote mismatch; @5W%t#ET200S-20110429@;
31848;Aide : erreur partenaire; @5W%t#ET200S-20110429@;Help: Remote mismatch; @5W%t#ET200S-20110429@;
848;Partenaire incorrect;Wrong partner;
17232;Une connexion de port a été configurée, un autre partenaire a été déterminé pour le port.
Solutions :
 - modifier le câblage de la connexion de port
 - écrire le nom du partenaire dans la connexion de port;A port interconnection was configured but a different partner was detected at the port.
Remedies:
 - Adapt the cabling of the configured port interconnection
 - Adopt the device name of the partner in the port interconnection;
849;Port partenaire incorrect;Wrong partner port;
17233;Une connexion de port a été configurée, un autre port partenaire a été déterminée pour le port.

 Solutions :
 - modifier le câblage de la connexion de port configurée
 - modifier la connexion de port dans la configuration;A port interconnection was configured but a different partner port was detected at the port.

 Remedy:
 - Adapt the cabling of the configured port interconnection
 - Adapt the port interconnection in the configuration;
