//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;
$_Languages;;;
7(5) Allemand (Liechtenstein);12(1) Français (France);9(1) Anglais (États-Unis);
31912;Contrôlez les caractéristiques technique;Check the technical specifications of th;
2608;Surchauffe;Overtemperature;
18992;Contrôlez les caractéristiques technique;Check the technical specifications of th;
6000;Rupture de fil;Wire break;
22384;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
9392;Limite supérieure dépassée;High limit exceeded;
25776;Contrôlez les caractéristiques technique;Check the technical specifications of th;
12784;Limite inférieure sous-dépassée;Low limit exceeded;
29168;Contrôlez les caractéristiques technique;Check the technical specifications of th;
16176;Erreur;Error;
32560;;;
3256;Simulation active;Simulation active;
19640;;;
6648;réservé;Reserved;
23032;;;
10040;réservé;Reserved;
26424;;;
13432;réservé;Reserved;
29816;;;
512;réservé;Reserved;
16896;;;
3904;Paramètre manquant;Parameter missing;
20288;;;
7296;Erreur de paramétrage;Parameter assignment error;
23680;Cause : paramètres de module incorrects.;Cause: Bad module parameter. Remedy: Che;
10688;Absence de tension capteur ou de charge;Power supply fault;
27072;Cause : absence de tension d'alimentatio;Cause: No power supply. Remedy: Check wi;
14080;Fusible defectueux;Fuse blown / open;
30464;Cause : surcharge. Solution : supprimez ;Cause: Overload. Remedy: Remove cause of;
1160;Emplacement non accessible;Slot cannot be addressed;
17544;Cause : erreur de communication à cause ;Cause: Communication error with various ;
4552;Défaut à la masse;Ground fault;
20936;Cause : dépassement de la tension mode c;Cause: Common mode voltage exceeded or M;
7944;Erreur de voie de référence;Reference point list;
24328;Cause : erreur de voie de référence. Sol;Cause: Error on reference channel. Remed;
11336;Alarme de processus perdue;Process event lost / sampling error;
27720;Cause : alarme de processus. Solution : ;Cause: Hardware interrupt. Remedy: Chang;
14728;Avertissement actionneur;Threshold warning;
31112;Cause : actionneur signale un dépassemen;Cause: Actuator signaling a limit value ;
1808;Coupure actionneur;Output disabled;
18192;Cause : problème d'actionneur détecté. S;Cause: Problem detected on actuator. Rem;
5200;Arrêt de sécurité;Safety event;
21584;Cause : erreur de voie détectée. Solutio;Cause: Error detected on channel. Remedy;
8592;Défaut externe;External fault;
24976;Cause : Erreur de capteur/actionneur dét;Cause: Problem detected on sensor/actuat;
11984;Défaut non spécifié;Unidentified error;
28368;Cause : ne peut être spécifiée. Solution;Cause: Cannot be specified in greater de;
15376;réservé;Reserved;
31760;;;
2456;Erreur 1 dans actionneur / capteur;Fault 1 in actuator/sensor;
18840;;;
5848;Erreur 2 dans actionneur / capteur;Fault 2 in actuator/sensor;
22232;;;
9240;Erreur temporaire;Temporary error;
25624;;;
12024;Linkup illicite;Illegal linkup;
28408;Etat de connexion différent des spécific;Link status different from setting in pa;
15416;Linkdown illicite;Illegal linkdown;
31800;Etat de connexion différent des spécific;Link status different from setting in pa;
2496;Vitesse de transmission illicite;Illegal transmission rate;
18880;Vitesse de transmission différente des s;Transmission rate different from setting;
5888;Duplexity illicite;Illegal duplexity;
22272;Duplexity différente des spécifications ;Duplexity different from setting in para;
9280;Surcharge de trames;Frame overload;
25664;Les télégrammes rejetés dépassent le seu;More or less discarded frames than set a;
5776;Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20100120@;Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20100120@;
22160;Aide : transmission de données impossibl;Help: Data transmission impossible; @5W%;
7472;Pas de connexion physique au port;No physical connection on port;
23856;Une surveillance de port a été configuré;Port monitoring was configured, there is;
7473;Erreur pour "Support de transmission/Duplex";Error with "Transfer medium/duplex";
23857;"Support de transmission / Duplex" a été;"Transfer medium / duplex" was configure;
7474;Erreur à la vérification des données de câble;Error during cable data check;
23858;Causes possibles :
 - La longueur de câb;Possible causes:
 - The discovered cable;
9168;Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20100120@;Remote mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
25552;Aide : erreur partenaire; @5W%t#A02A-SCA;Help: Remote mismatch; @5W%t#A02A-SCALAN;
10864;Partenaire incorrect;Wrong partner;
27248;Une connexion de port a été configurée, ;A port interconnection was configured bu;
10865;Port partenaire incorrect;Wrong partner port;
27249;Une connexion de port a été configurée, ;A port interconnection was configured bu;
10866;IRT (Top Performance) impossible sur ce port;IRT (top performance) not possible at this port;
27250;Causes possibles :
 - Autres erreurs de ;Possible causes:
 - Other communications;
10867;Incohérence pour "Support de transmission / Duplex";Inconsistency in "transmission medium / duplex";
27251;"Support de transmission/Duplex" a été c;"Transmission medium/duplex" was configu;
10868;Incohérence de la configuration MRP / du câblage;Inconsistent MRP configuration / wiring;
27252;Domaine MRP configuré ; la sélection loc;MRP domain was configured; the local set;
10869;Le voisin n'a pas pu être détecté;The neighbor could not be identified;
27253;Une connexion de port a été configurée, ;A port interconnection was configured bu;
10870;Incohérence de la configuration MRRT;Inconsistent MRRT configuration;
27254;L'attribut MRRT  a été configuré; les op;The MRRT feature was configured; the loc;
10871;Différence à la détermination de longueur de câble;Difference in cable length measurement;
27255;"Support de transmission / Duplex" a été;"Transmission medium / Duplex" was confi;
11288;Nom de domaine Sync utilisé plusieurs fois;Sync domain name used more than once;
27672;Deux domaines Sync de même nom ont été c;Two sync domains with the same name were;
12560;Erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20100120@;Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
28944;Aide : erreur de redondance de supports ;Help: Media redundancy mismatch; @5W%t#A;
14256;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;Redundancy manager cannot adopt the configured role;
30640;Signifie que le gestionnaire de redondan;Indicates that the configured redundancy;
14257;Anneau ouvert;Ring opened;
30641;Indique que l'anneau est interrompu unil;Indicates that the ring has been interru;
14258;Redondance RT plus garantie;RT redundancy not effective;
30642;Indique que l'anneau n'est pas fermé pou;Indicates that the ring is not closed fo;
14259;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;There is more than one redundancy manager in the ring;
30643;Indique que plusieurs appareils assument;Indicates that more than one device in t;
15952;Perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20100120@;Sync mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
32336;Aide : perte de synchronisation; @5W%t#A;Help: Sync mismatch; @5W%t#A02A-SCALANCE;
1336;L'esclave Sync ne sera pas synchronisé;Sync slave will not be synchronized;
17720;La station est un esclave Sync et n'est ;The station is a sync slave and it is no;
1339;Station non synchrone;Station not synchronized;
17723;La synchronisation se trouve hors de la ;Synchronization is outside the range of ;
3032;Erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
19416;Aide : erreur de synchronisme d'horloge;;Help: Isochronous mode mismatch; @5W%t#A;
6424;Erreur Multicast CR; @5W%t#A02A-SCALANCE_X200-20100120@;Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
22808;Aide : Erreur CR Multicast; @5W%t#A02A-S;Help: Multicast CR mismatch; @5W%t#A02A-;
9816;réservé; @5W%t#A02A-SCALANCE_X200-20100120@;Reserved; @5W%t#A02A-SCALANCE_X200-20100120@;
26200;Aide : réservée; @5W%t#A02A-SCALANCE_X20;Help: Reserved; @5W%t#A02A-SCALANCE_X200;
13208;Erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20100120@;Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
29592;Aide : erreur fibre optique; @5W%t#A02A-;Help: Fiber optics mismatch; @5W%t#A02A-;
14904;Réserve système FO critique;FO link power margin critical;
31288;La réserve système FO se trouve en -dess;The FO link power margin is below the @2;
288;Erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20100120@;Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
16672;Aide : erreur de fonctionnement du compo;Help: Network component function mismatc;
1984;Paquets de données rejetés pour surcharge;Data packets discarded due to overload;
18368;@2D%1d@ paquets de données au minimum on;At least @2D%1d@ data packets were disca;
3680;Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
20064;Aide : erreur de temporisation; @5W%t#A0;Help: Time mismatch; @5W%t#A02A-SCALANCE;
2632;Configuration incohérente/Spécification du routeur par défaut;Inconsistent configuration / specification of the standard gateway;
19016;Un autre routeur par défaut a été config;A standard gateway has been configured f;
2633;Configuration incohérente/Spécification du NameOfStation;Inconsistent configuration/specification of the NameOfStation;
19017;Un NameOfStation a déjà été configuré /a;A NameOfStation which is identical to th;
2634;Configuration incohérente/Spécification de l'adresse IP;Inconsistent configuration/specification of the IP address;
19018;Une adresse IP a déjà été configurée/att;An IP address which is in the same subne;
14928;Pas d'alimentation redondante;No redundant PS;
31312;Alarme arrivante en l'absence d'alimenta;Alarm entering state when there is no re;
14930;C-PLUG introuvable;C-PLUG not found;
31314;Alarme arrivante en l'absence de C-PLUG;Alarm entering state when no C-PLUG was ;
14932;C-PLUG défectueux;C-PLUG defective;
31316;Alarme arrivante lorsque le C-PLUG est d;Alarm entering state when C-PLUG is defe;
14934;Le C-PLUG est incorrect;wrong C-PLUG;
31318;Alarme apparaissante si aucun C-PLUG n'a;Incoming alarm when wrong C-PLUG is plug;
8256;;;
24640;;;
11648;Court-circuit;Short circuit;
28032;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
15040;Sous-tension;Low voltage;
31424;Contrôlez l'alimentation en tension.;Verify the power supply.;
2120;Surtension;Overvoltage;
18504;Contrôlez l'alimentation en tension.;Verify the power supply.;
5512;Surcharge;Overload;
21896;Contrôlez les caractéristiques technique;Check the technical specifications of th;
8904;Surchauffe;Overtemperature;
25288;Contrôlez les caractéristiques technique;Check the technical specifications of th;
12296;Rupture de fil;Wire break;
28680;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
15688;Limite supérieure dépassée;High limit exceeded;
32072;Contrôlez les caractéristiques technique;Check the technical specifications of th;
2768;Limite inférieure sous-dépassée;Low limit exceeded;
19152;Contrôlez les caractéristiques technique;Check the technical specifications of th;
6160;Erreur;Error;
22544;;;
9552;Simulation active;Simulation active;
25936;;;
12944;réservé;Reserved;
29328;;;
24;réservé;Reserved;
16408;;;
3416;réservé;Reserved;
19800;;;
6808;réservé;Reserved;
23192;;;
10200;Paramètre manquant;Parameter missing;
26584;;;
13592;Erreur de paramétrage;Parameter assignment error;
29976;Cause possible : Le module n'est pas par;Possible Cause: Module either not at all;
672;Le connecteur frontal, la tension de capteur ou de charge manque.;Front connector missing, sensor or load voltage missing;
17056;Cause possible : La tension d'alimentati;Possible cause: Supply voltage missing o;
4064;Fusible défectueux.;Fuse defective;
20448;Cause possible : Le fusible échangeable ;Possible Cause: User's replaceable fuse ;
7456;Erreur de communication;Communication error;
23840;Cause possible : Communication au module;Possible Cause: Communication to the mod;
10848;Erreur de masse;Ground error;
27232;Cause possible : Dépassement du Common M;Possible Cause: Exceeding the allowable ;
14240;Erreur sur voie de référence;Reference channel error;
30624;Cause possible : Erreur sur voie de réfé;Possible Cause: Error on the reference c;
1320;Alarme de processus perdue ou erreur de message;Process interrupt lost or message error;
17704;Cause possible : Erreur de cadre, erreur;Possible Cause: Frame error, parity erro;
4712;Avertissement;Warning;
21096;Cause possible : Dépassement des seuils ;Possible Cause: Exceeding the actuator l;
8104;Arrêt;Shutoff;
24488;Cause possible : Déclenchement d'un disj;Possible Cause: Trigger a line switch du;
11496;Arrêt de sécurité;Fail-safe shutoff;
27880;Cause possible : Présence d'un déclenche;Possible Cause: Trigger for fail-safe sh;
14888;Erreur externe;external error;
31272;Cause possible : Rupture de fil ou court;Possible Cause: Wire break or short circ;
1968;Erreur indéfinie;ambiguous error;
18352;Cause possible : Une procédure d'apprent;Possible Cause: Teach-in process running;
5360;réservé;Reserved;
21744;;;
8752;Erreur 1 dans actionneur / capteur;Fault 1 in actuator/sensor;
25136;;;
12144;Erreur 2 dans actionneur / capteur;Fault 2 in actuator/sensor;
28528;;;
15536;Voie temporairement indisponible;Channel temporarily not available;
31920;Cause possible : Calibrage, mise à jour ;Possible cause: Calibration, firmware up;
12072;Transmission de données impossible; @5W%t#ET200S-20110429@;Data transmission impossible; @5W%t#ET200S-20110429@;
28456;Aide : transmission de données impossibl;Help: Data transmission impossible; @5W%;
13768;Pas de connexion physique au port;No physical connection on port;
30152;Une surveillance de port a été configuré;Port monitoring was configured, there is;
13769;Erreur pour "Support de transmission/Duplex";Error with "Transfer medium/duplex";
30153;"Support de transmission / Duplex" a été;"Transfer medium / duplex" was configure;
13770;Erreur à la vérification des données de câble;Error during cable data check;
30154;Causes possibles :
 - La longueur de câb;Possible causes:
 - The discovered cable;
15464;Erreur partenaire; @5W%t#ET200S-20110429@;Remote mismatch; @5W%t#ET200S-20110429@;
31848;Aide : erreur partenaire; @5W%t#ET200S-2;Help: Remote mismatch; @5W%t#ET200S-2011;
848;Partenaire incorrect;Wrong partner;
17232;Une connexion de port a été configurée, ;A port interconnection was configured bu;
849;Port partenaire incorrect;Wrong partner port;
17233;Une connexion de port a été configurée, ;A port interconnection was configured bu;
850;IRT (Top Performance) impossible sur ce port;IRT (top performance) not possible at this port;
17234;Causes possibles :
 - Autres erreurs de ;Possible causes:
 - Other communications;
851;Incohérence pour "Support de transmission / Duplex";Inconsistency in "transmission medium / duplex";
17235;"Support de transmission/Duplex" a été c;"Transmission medium/duplex" was configu;
852;Incohérence de la configuration MRP / du câblage;Inconsistent MRP configuration / wiring;
17236;Domaine MRP configuré ; la sélection loc;MRP domain was configured; the local set;
853;Le voisin n'a pas pu être détecté;The neighbor could not be identified;
17237;Une connexion de port a été configurée, ;A port interconnection was configured bu;
854;Incohérence de la configuration MRRT;Inconsistent MRRT configuration;
17238;L'attribut MRRT  a été configuré; les op;The MRRT feature was configured; the loc;
855;Différence à la détermination de longueur de câble;Difference in cable length measurement;
17239;"Support de transmission / Duplex" a été;"Transmission medium / Duplex" was confi;
1272;Nom de domaine Sync utilisé plusieurs fois;Sync domain name used more than once;
17656;Deux domaines Sync de même nom ont été c;Two sync domains with the same name were;
2544;Erreur de redondance de supports de transmission; @5W%t#ET200S-20110429@;Media redundancy mismatch; @5W%t#ET200S-20110429@;
18928;Aide : erreur de redondance de supports ;Help: Media redundancy mismatch; @5W%t#E;
4240;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;Redundancy manager cannot adopt the configured role;
20624;Signifie que le gestionnaire de redondan;Indicates that the configured redundancy;
4241;Anneau ouvert;Ring opened;
20625;Indique que l'anneau est interrompu unil;Indicates that the ring has been interru;
4242;Redondance RT plus garantie;RT redundancy not effective;
20626;Indique que l'anneau n'est pas fermé pou;Indicates that the ring is not closed fo;
4243;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;There is more than one redundancy manager in the ring;
20627;Indique que plusieurs appareils assument;Indicates that more than one device in t;
5936;Perte de synchronisation; @5W%t#ET200S-20110429@;Sync mismatch; @5W%t#ET200S-20110429@;
22320;Aide : perte de synchronisation; @5W%t#E;Help: Sync mismatch; @5W%t#ET200S-201104;
7632;L'esclave Sync ne sera pas synchronisé;Sync slave will not be synchronized;
24016;La station est un esclave Sync et n'est ;The station is a sync slave and it is no;
7635;Station non synchrone;Station not synchronized;
24019;La synchronisation se trouve hors de la ;Synchronization is outside the range of ;
9328;Erreur de synchronisme d'horloge; @5W%t#ET200S-20110429@;Isochronous mode mismatch; @5W%t#ET200S-20110429@;
25712;Aide : erreur de synchronisme d'horloge;;Help: Isochronous mode mismatch; @5W%t#E;
12720;Erreur Multicast CR; @5W%t#ET200S-20110429@;Multicast CR mismatch; @5W%t#ET200S-20110429@;
29104;Aide : Erreur CR Multicast; @5W%t#ET200S;Help: Multicast CR mismatch; @5W%t#ET200;
16112;réservé; @5W%t#ET200S-20110429@;Reserved; @5W%t#ET200S-20110429@;
32496;Aide : réservée; @5W%t#ET200S-20110429@;Help: Reserved; @5W%t#ET200S-20110429@;
3192;Erreur fibre optique; @5W%t#ET200S-20110429@;Fiber optics mismatch; @5W%t#ET200S-20110429@;
19576;Aide : erreur fibre optique; @5W%t#ET200;Help: Fiber optics mismatch; @5W%t#ET200;
4888;Réserve système FO critique;FO link power margin critical;
21272;La réserve système FO se trouve en -dess;The FO link power margin is below the @2;
6584;Erreur de fonctionnement du composant réseau; @5W%t#ET200S-20110429@;Network component function mismatch; @5W%t#ET200S-20110429@;
22968;Aide : erreur de fonctionnement du compo;Help: Network component function mismatc;
8280;Paquets de données rejetés pour surcharge;Data packets discarded due to overload;
24664;@2D%1d@ paquets de données au minimum on;At least @2D%1d@ data packets were disca;
9976;Erreur d'horloge; @5W%t#ET200S-20110429@;Time mismatch; @5W%t#ET200S-20110429@;
26360;Aide : erreur de temporisation; @5W%t#ET;Help: Time mismatch; @5W%t#ET200S-201104;
8928;Configuration incohérente/Spécification du routeur par défaut;Inconsistent configuration / specification of the standard gateway;
25312;Un autre routeur par défaut a été config;A standard gateway has been configured f;
8929;Configuration incohérente/Spécification du NameOfStation;Inconsistent configuration/specification of the NameOfStation;
25313;Un NameOfStation a déjà été configuré /a;A NameOfStation which is identical to th;
8930;Configuration incohérente/Spécification de l'adresse IP;Inconsistent configuration/specification of the IP address;
25314;Une adresse IP a déjà été configurée/att;An IP address which is in the same subne;
3968;;;
20352;;;
7360;Court-circuit;Short circuit;
23744;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
10752;Sous-tension;Low voltage;
27136;Contrôlez l'alimentation en tension.;Verify the power supply.;
14144;Surtension;Overvoltage;
30528;Contrôlez l'alimentation en tension.;Verify the power supply.;
1224;Surcharge;Overload;
17608;Contrôlez les caractéristiques technique;Check the technical specifications of th;
4616;Surchauffe;Overtemperature;
21000;Contrôlez les caractéristiques technique;Check the technical specifications of th;
8008;Rupture de fil;Wire break;
24392;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
11400;Limite supérieure dépassée;High limit exceeded;
27784;Contrôlez les caractéristiques technique;Check the technical specifications of th;
14792;Limite inférieure sous-dépassée;Low limit exceeded;
31176;Contrôlez les caractéristiques technique;Check the technical specifications of th;
1872;Erreur;Error;
18256;;;
5264;Simulation active;Simulation active;
21648;;;
8656;réservé;Reserved;
25040;;;
12048;réservé;Reserved;
28432;;;
15440;réservé;Reserved;
31824;;;
2520;réservé;Reserved;
18904;;;
5912;Paramètre manquant;Parameter missing;
22296;;;
9304;Erreur de paramétrage;parameter assignment error;
25688;Erreur de paramétrage;parameter assignment error;
12696;Défaut d'alimentation;Power supply fault;
29080;Défaut d'alimentation;Power supply fault;
16088;Défaut de fusible;fuse blown;
32472;Défaut de fusible;fuse blown;
3168;Emplacement non accessible;Slot cannot be addressed;
19552;Cause : erreur de communication à cause ;Cause: Communication error with various ;
6560;Défaut de masse;ground fault;
22944;Défaut de masse;ground fault;
9952;Point de référence perdu;reference point lost;
26336;Point de référence perdu;reference point lost;
13344;Événement process perdu/erreur d'échantillonnage;process event lost / sampling error;
29728;Événement process perdu/erreur d'échanti;process event lost / sampling error;
424;Avertissement valeur seuil;threshold warning;
16808;Avertissement valeur seuil;threshold warning;
3816;Sortie désactivée;output disabled;
20200;Sortie désactivée;output disabled;
7208;Événement relatif à la sécurité;safety-related event;
23592;Événement relatif à la sécurité;safety-related event;
10600;Défaut externe;external fault;
26984;Défaut externe;external fault;
13992;Défaut non spécifié;Unidentified error;
30376;Cause : ne peut être spécifiée. Solution;Cause: Cannot be specified in greater de;
1072;réservé;Reserved;
17456;;;
4464;Erreur 1 dans actionneur / capteur;Fault 1 in actuator/sensor;
20848;;;
7856;Erreur 2 dans actionneur / capteur;Fault 2 in actuator/sensor;
24240;;;
11248;Erreur temporaire;Temporary error;
27632;;;
9000;L'adresse de destination Profisafe (F_Dest_Add) ne concorde pas;Mismatch of safety destination address (F_Dest_Add);
25384;Défaut Profisafe;Profisafe Error;
12392;Adresse de destination Profisafe (F_Dest_Add) non valide;Safety destination address not valid (F_Dest_Add);
28776;Défaut Profisafe;Profisafe Error;
15784;Adresse de source Profisafe (F_Source_Add) non valide;Safety source address not valid (F_Source_Add);
32168;Défaut Profisafe;Profisafe Error;
2864;La durée de surveillance de temps Profisafe est 0 ms (F_WD_Time);Safety watchdog time value is 0 ms (F_WD_Time);
19248;Défaut Profisafe;Profisafe Error;
6256;Le paramètre F_SIL est supérieur au SIL de l'application spécifique à l'appareil;Parameter F_SIL exceeds SIL from specific device application;
22640;Défaut Profisafe;Profisafe Error;
9648;Le paramètre F_CRC_Length ne concorde pas avec la valeur générée;Parameter F_CRC_Length does not match the generated values;
26032;Défaut Profisafe;Profisafe Error;
13040;Version de paramètres F incorrecte;Version of F-Parameter set incorrect;
29424;Défaut Profisafe;Profisafe Error;
120;Erreur CRC1;CRC1-Fault;
16504;Défaut Profisafe;Profisafe Error;
3512;Informations de diagnostic spécifiques à l'appareil (voir manuel);Device specific diagnosis information, see manual;
19896;Défaut Profisafe;Profisafe Error;
3056;Différence de temps dépassée;Time difference exceeded;
19440;La différence de temps a été dépassée;The time difference has been exceeded;
3057;-> Arrêt d'urgence;-> Emergency stop;
19441;Éliminer la cause, appuyer sur l'arrêt d;Please rectify cause, press emergency st;
3058;-> Commande d’assentiment;-> Enabling switch;
19442;Éliminer la cause, appuyer sur la comman;Please rectify cause, release enabling s;
3059;-> Signal porte;-> Door signal;
19443;Éliminer la cause, ouvrir la porte et ac;Please rectify cause, open door and ackn;
3060;-> Signal verrou;-> Bolt signal;
19444;Éliminer la cause, ouvrir la porte et ac;Please rectify cause, open door and ackn;
3061;-> Signal interverrouillage;-> Guard locking signal;
19445;Éliminer la cause, ouvrir la porte et ac;Please rectify cause, open door and ackn;
3062;-> Sélecteur de mode;-> Operating mode selector switch;
19446;Éliminer la cause et acquitter le défaut;Please rectify cause, acknowledge operat;
3063;Défaut interne;Internal fault;
19447;;;
3480;Défaut interne;Internal fault;
19864;;;
6448;Impulsions de test erronées;Fault test pulses;
22832;Un défaut est survenu au niveau des impu;A fault occurred with the test pulses;
6449;-> Arrêt d'urgence;-> Emergency stop;
22833;Éliminer la cause et acquitter le défaut;Please rectify cause and acknowledge;
6450;-> Commande d’assentiment;-> Enabling switch;
22834;Éliminer la cause et acquitter le défaut;Please rectify cause and acknowledge;
6451;-> Signal porte;-> Door signal;
22835;Éliminer la cause et acquitter le défaut;Please rectify cause and acknowledge;
6452;-> Signal verrou;-> Bolt signal;
22836;Éliminer la cause et acquitter le défaut;Please rectify cause and acknowledge;
6453;-> Signal interverrouillage;-> Guard locking signal;
22837;Éliminer la cause et acquitter le défaut;Please rectify cause and acknowledge;
6454;-> Sélecteur de mode;-> Operating mode selector switch;
22838;Éliminer la cause et acquitter le défaut;Please rectify cause and acknowledge;
6455;Défaut interne;Internal fault;
22839;;;
6872;Défaut interne;Internal fault;
23256;;;
9840;Défaut module d'interverrouillage;Fault locking module;
26224;Un défaut est survenu au niveau du modul;A fault occurred in the locking module;
9841;Module d'interverrouillage - durée de vie;Locking module mechanical life;
26225;1 million de cycles ont été détectés;1 million operating cycles have been det;
9842;Module d'interverrouillage interne;Locking module internal;
26226;Une erreur de traitement interne a été d;An internal processing error has been de;
9843;Module d'interverrouillage - rupture du verrou;Locking module bolt fracture;
26227;Une rupture du verrou a été détectée;A fracture in the bolt has been detected;
9844;Module d'interverrouillage - plausibilité;Locking module plausibility;
26228;Le test de plausibilité verrou - barrièr;The bolt - light barrier plausibility te;
9845;Module d'interverrouillage - mode défaut;Locking module fault mode;
26229;Le module de déverrouillage est en mode ;The locking module is operating in the f;
9846;Défaut interne;Internal fault;
26230;;;
9847;Défaut interne;Internal fault;
26231;;;
10264;Défaut interne;Internal fault;
26648;;;
13232;Défaut sélecteur de mode;Fault operating mode selector switch;
29616;Un défaut est survenu au niveau du modul;A fault occurred in the operating mode s;
13233;Le contrôle de plausibilité du sélecteur de mode était erroné;The plausibility test on the operating mode selector switch was erroneous;
29617;Éliminer la cause et acquitter;Please rectify cause and acknowledge;
13234;Défaut interne;Internal fault;
29618;;;
13235;Défaut interne;Internal fault;
29619;;;
13236;Défaut interne;Internal fault;
29620;;;
13237;Défaut interne;Internal fault;
29621;;;
13238;Défaut interne;Internal fault;
29622;;;
13239;Défaut interne;Internal fault;
29623;;;
13656;Défaut interne;Internal fault;
30040;;;
312;Défaut PROFIsafe;Fault PROFIsafe;
16696;Un défaut relatif à la sécurité est surv;A safety-related fault has occurred;
313;Erreur de démarrage PROFIsafe;Starting error PROFIsafe;
16697;Un défaut est survenu au démarrage de la;An error occurred on starting the PROFIs;
314;Erreur détectée dans la mémoire RAM;Memory error found in the RAM;
16698;Un défaut a été détecté dans la mémoire ;A memory error was found in the RAM;
315;Erreur détectée dans la mémoire FLASH;Memory error found in the FLASH;
16699;Un défaut a été détecté dans la mémoire ;A memory error was found in the FLASH;
316;Erreur de communication;communication error;
16700;La communication entre les 2 processeurs;The communication between the 2 safety p;
317;Erreur de synchronisation;Synchronisation error;
16701;La synchronisation entre les 2 processeu;The synchronisation between the 2 safety;
318;Défaut de surveillance de tension;Wrong voltage detected;
16702;L'alimentation en tension se situe en de;The power supply is outside the permissi;
319;Défaut interne;Internal fault;
16703;Défaut interne PROFIsafe;Internal PROFIsafe error;
736;Défaut matériel;Hardware error;
17120;;;
3704;Défaut MGB;Fault MGB;
20088;Défaut interne;Internal fault;
3705;Erreur de démarrage MGB;Starting error MGB;
20089;Défaut lors du démarrage de la MGB;An error occurred on booting the MGB;
3706;Erreur de communication;Communication error;
20090;La communication entre les 2 processeurs;The communication between the 2 safety p;
