//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;;
$_Languages;;;;
28520;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
15528;Sobrecarga;Overload;Surcharge;
31912;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
2608;Sobretemperatura;Overtemperature;Surchauffe;
18992;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
6000;Rotura de hilo;Wire break;Rupture de fil;
22384;Compruebe el estado de las líneas de con;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
9392;Límite superior excedido;High limit exceeded;Limite supérieure dépassée;
25776;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
12784;Límite inferior excedido;Low limit exceeded;Limite inférieure sous-dépassée;
29168;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
16176;Fallo;Error;Erreur;
32560;;;;
3256;Simulación activa;Simulation active;Simulation active;
19640;;;;
6648;Reservado;Reserved;réservé;
23032;;;;
10040;Reservado;Reserved;réservé;
26424;;;;
13432;Reservado;Reserved;réservé;
29816;;;;
512;Reservado;Reserved;réservé;
16896;;;;
3904;Falta el parámetro;Parameter missing;Paramètre manquant;
20288;;;;
7296;Error de parametrización;Parameter assignment error;Erreur de paramétrage;
23680;Causa: Parámetros de módulo incorrectos.;Cause: Bad module parameter. Remedy: Che;Cause : paramètres de module incorrects.;
10688;Falta tensión de sensores o de carga;Power supply fault;Absence de tension capteur ou de charge;
27072;Causa: Falta tensión de carga. Solución:;Cause: No power supply. Remedy: Check wi;Cause : absence de tension d'alimentatio;
14080;Fusible defectuoso;Fuse blown / open;Fusible defectueux;
30464;Causa: Sobrecarga. Solución: Eliminar la;Cause: Overload. Remedy: Remove cause of;Cause : surcharge. Solution : supprimez ;
1160;El slot no responde;Slot cannot be addressed;Emplacement non accessible;
17544;Causa: Error de comunicación de diferent;Cause: Communication error with various ;Cause : erreur de communication à cause ;
4552;Defecto a masa;Ground fault;Défaut à la masse;
20936;Causa: Tensión en modo común rebasada o ;Cause: Common mode voltage exceeded or M;Cause : dépassement de la tension mode c;
7944;Error del canal de referencia;Reference point list;Erreur de voie de référence;
24328;Causa: Error en el canal de referencia. ;Cause: Error on reference channel. Remed;Cause : erreur de voie de référence. Sol;
11336;Alarma de proceso perdida;Process event lost / sampling error;Alarme de processus perdue;
27720;Causa: Alarma de proceso. Solución: Camb;Cause: Hardware interrupt. Remedy: Chang;Cause : alarme de processus. Solution : ;
14728;Advertencia de actuador;Threshold warning;Avertissement actionneur;
31112;Causa: El actuador notifica el rebase de;Cause: Actuator signaling a limit value ;Cause : actionneur signale un dépassemen;
1808;Desconexión de actuador;Output disabled;Coupure actionneur;
18192;Causa: Se ha detectado un problema con e;Cause: Problem detected on actuator. Rem;Cause : problème d'actionneur détecté. S;
5200;Desconexión orientada a seguridad;Safety event;Arrêt de sécurité;
21584;Causa: Se ha detectado un fallo en el ca;Cause: Error detected on channel. Remedy;Cause : erreur de voie détectée. Solutio;
8592;Error externo;External fault;Défaut externe;
24976;Causa: Se ha detectado un fallo en el se;Cause: Problem detected on sensor/actuat;Cause : Erreur de capteur/actionneur dét;
11984;Error no definido;Unidentified error;Défaut non spécifié;
28368;Causa: No se puede especificar con detal;Cause: Cannot be specified in greater de;Cause : ne peut être spécifiée. Solution;
15376;Reservado;Reserved;réservé;
31760;;;;
2456;Fallo 1 en actuador / sensor;Fault 1 in actuator/sensor;Erreur 1 dans actionneur / capteur;
18840;;;;
5848;Fallo 2 en actuador / sensor;Fault 2 in actuator/sensor;Erreur 2 dans actionneur / capteur;
22232;;;;
9240;Fallo temporal;Temporary error;Erreur temporaire;
25624;;;;
12024;Linkup no permitido;Illegal linkup;Linkup illicite;
28408;Estado de link distinto del predetermina;Link status different from setting in pa;Etat de connexion différent des spécific;
15416;Linkdown no permitido;Illegal linkdown;Linkdown illicite;
31800;Estado de link distinto del predetermina;Link status different from setting in pa;Etat de connexion différent des spécific;
2496;Velocidad de transmisión no permitida;Illegal transmission rate;Vitesse de transmission illicite;
18880;Velocidad de transmisión distinta de la ;Transmission rate different from setting;Vitesse de transmission différente des s;
5888;Duplexity no permitida;Illegal duplexity;Duplexity illicite;
22272;Duplexity ditinta de la predeterminada e;Duplexity different from setting in para;Duplexity différente des spécifications ;
9280;Sobrecarga de frame;Frame overload;Surcharge de trames;
25664;Los telegramas rechazados sobrepasan o n;More or less discarded frames than set a;Les télégrammes rejetés dépassent le seu;
5776;Transferencia de datos imposible; @5W%t#A02A-SCALANCE_X200-20100120@;Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20100120@;Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20100120@;
22160;Ayuda: Transferencia de datos imposible;;Help: Data transmission impossible; @5W%;Aide : transmission de données impossibl;
7472;No hay conexión física en el puerto;No physical connection on port;Pas de connexion physique au port;
23856;Se ha configurado la vigilancia del puer;Port monitoring was configured, there is;Une surveillance de port a été configuré;
7473;Error en "Soporte de transferencia/dúplex";Error with "Transfer medium/duplex";Erreur pour "Support de transmission/Duplex";
23857;"Soporte de transferencia / dúplex" se h;"Transfer medium / duplex" was configure;"Support de transmission / Duplex" a été;
7474;Error al comprobar los datos de línea;Error during cable data check;Erreur à la vérification des données de câble;
23858;Causas posibles:
 - La longitud de línea;Possible causes:
 - The discovered cable;Causes possibles :
 - La longueur de câb;
9168;Error en el partner; @5W%t#A02A-SCALANCE_X200-20100120@;Remote mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20100120@;
25552;Ayuda: Error en el partner; @5W%t#A02A-S;Help: Remote mismatch; @5W%t#A02A-SCALAN;Aide : erreur partenaire; @5W%t#A02A-SCA;
10864;Partner incorrecto;Wrong partner;Partenaire incorrect;
27248;Se ha configurado una conexión de puerto;A port interconnection was configured bu;Une connexion de port a été configurée, ;
10865;Puerto partner erróneo;Wrong partner port;Port partenaire incorrect;
27249;Se ha configurado una conexión de puerto;A port interconnection was configured bu;Une connexion de port a été configurée, ;
10866;IRT (Top Performance) no es posible en este puerto;IRT (top performance) not possible at this port;IRT (Top Performance) impossible sur ce port;
27250;Causas posibles:
 - Otros errores de com;Possible causes:
 - Other communications;Causes possibles :
 - Autres erreurs de ;
10867;Incoherencia en "Soporte de transferencia / dúplex";Inconsistency in "transmission medium / duplex";Incohérence pour "Support de transmission / Duplex";
27251;Se ha configurado el "Medio de transmisi;"Transmission medium/duplex" was configu;"Support de transmission/Duplex" a été c;
10868;Incoherencia en la configuración MRP / cableado;Inconsistent MRP configuration / wiring;Incohérence de la configuration MRP / du câblage;
27252;Se ha configurado un dominio MRP, pero l;MRP domain was configured; the local set;Domaine MRP configuré ; la sélection loc;
10869;Imposible detectar el vecino;The neighbor could not be identified;Le voisin n'a pas pu être détecté;
27253;Se ha configurado una conexión de puerto;A port interconnection was configured bu;Une connexion de port a été configurée, ;
10870;Incoherencia en la configuración MRRT;Inconsistent MRRT configuration;Incohérence de la configuration MRRT;
27254;Se ha configurado la característica MRRT;The MRRT feature was configured; the loc;L'attribut MRRT  a été configuré; les op;
10871;Diferencia al determinar la longitud del cable;Difference in cable length measurement;Différence à la détermination de longueur de câble;
27255;Se ha configurado "Soporte de transferen;"Transmission medium / Duplex" was confi;"Support de transmission / Duplex" a été;
11288;El nombre del dominio Sync se utiliza repetidas veces;Sync domain name used more than once;Nom de domaine Sync utilisé plusieurs fois;
27672;En la subred Ethernet se han configurado;Two sync domains with the same name were;Deux domaines Sync de même nom ont été c;
12560;Error de redundancia de medios; @5W%t#A02A-SCALANCE_X200-20100120@;Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20100120@;
28944;Ayuda: Redundancia de medios; @5W%t#A02A;Help: Media redundancy mismatch; @5W%t#A;Aide : erreur de redondance de supports ;
14256;El manager de redundancia no puede asumir la función configurada.;Redundancy manager cannot adopt the configured role;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;
30640;Indica que el manager de redundancia asu;Indicates that the configured redundancy;Signifie que le gestionnaire de redondan;
14257;Anillo abierto;Ring opened;Anneau ouvert;
30641;Indica que el anillo se ha interrumpido ;Indicates that the ring has been interru;Indique que l'anneau est interrompu unil;
14258;Redundancia RT no garantizada;RT redundancy not effective;Redondance RT plus garantie;
30642;Indica que el anillo para la comunicació;Indicates that the ring is not closed fo;Indique que l'anneau n'est pas fermé pou;
14259;En el anillo se encuentran varios administradores de redundancia;There is more than one redundancy manager in the ring;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;
30643;Indica que en el anillo se encuentran va;Indicates that more than one device in t;Indique que plusieurs appareils assument;
15952;Pérdida de sincronización; @5W%t#A02A-SCALANCE_X200-20100120@;Sync mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20100120@;
32336;Ayuda: Pérdida de sincronización; @5W%t#;Help: Sync mismatch; @5W%t#A02A-SCALANCE;Aide : perte de synchronisation; @5W%t#A;
1336;No se sincroniza el SyncSlave;Sync slave will not be synchronized;L'esclave Sync ne sera pas synchronisé;
17720;El equipo es un SyncSlave y no se sincro;The station is a sync slave and it is no;La station est un esclave Sync et n'est ;
1339;Equipo no síncrono;Station not synchronized;Station non synchrone;
17723;La sincronización está fuera del rango d;Synchronization is outside the range of ;La synchronisation se trouve hors de la ;
3032;Error de modo isócrono; @5W%t#A02A-SCALANCE_X200-20100120@;Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;
19416;Ayuda: Error de modo isócrono; @5W%t#A02;Help: Isochronous mode mismatch; @5W%t#A;Aide : erreur de synchronisme d'horloge;;
6424;Error CR multicast; @5W%t#A02A-SCALANCE_X200-20100120@;Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Erreur Multicast CR; @5W%t#A02A-SCALANCE_X200-20100120@;
22808;Ayuda: Error CR multicast; @5W%t#A02A-SC;Help: Multicast CR mismatch; @5W%t#A02A-;Aide : Erreur CR Multicast; @5W%t#A02A-S;
9816;Reservado; @5W%t#A02A-SCALANCE_X200-20100120@;Reserved; @5W%t#A02A-SCALANCE_X200-20100120@;réservé; @5W%t#A02A-SCALANCE_X200-20100120@;
26200;Ayuda: Ayuda; @5W%t#A02A-SCALANCE_X200-2;Help: Reserved; @5W%t#A02A-SCALANCE_X200;Aide : réservée; @5W%t#A02A-SCALANCE_X20;
13208;Error fibra óptica; @5W%t#A02A-SCALANCE_X200-20100120@;Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20100120@;
29592;Ayuda: Error fibra óptica; @5W%t#A02A-SC;Help: Fiber optics mismatch; @5W%t#A02A-;Aide : erreur fibre optique; @5W%t#A02A-;
14904;Reserva de sistema de fibra óptica crítica;FO link power margin critical;Réserve système FO critique;
31288;La reserva de sistema FO se encuentra po;The FO link power margin is below the @2;La réserve système FO se trouve en -dess;
288;Error de función del componente de red; @5W%t#A02A-SCALANCE_X200-20100120@;Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20100120@;
16672;Ayuda: Error de función del componente d;Help: Network component function mismatc;Aide : erreur de fonctionnement du compo;
1984;Debido a sobrecarga se han rechazado paquetes de datos;Data packets discarded due to overload;Paquets de données rejetés pour surcharge;
18368;Como mínimo @2D%1d@ paquetes de datos ha;At least @2D%1d@ data packets were disca;@2D%1d@ paquets de données au minimum on;
3680;Error de tiempo; @5W%t#A02A-SCALANCE_X200-20100120@;Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;
20064;Ayuda: Error de tiempo; @5W%t#A02A-SCALA;Help: Time mismatch; @5W%t#A02A-SCALANCE;Aide : erreur de temporisation; @5W%t#A0;
2632;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;Configuration incohérente/Spécification du routeur par défaut;
19016;Se ha configurado un gateway predetermin;A standard gateway has been configured f;Un autre routeur par défaut a été config;
2633;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;Configuration incohérente/Spécification du NameOfStation;
19017;Para otra interfaz de este módulo ya se ;A NameOfStation which is identical to th;Un NameOfStation a déjà été configuré /a;
2634;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;Configuration incohérente/Spécification de l'adresse IP;
19018;Para otra interfaz ya se ha configurado/;An IP address which is in the same subne;Une adresse IP a déjà été configurée/att;
14928;sin alimentación el. redundante;No redundant PS;Pas d'alimentation redondante;
31312;Alarma entrante, si no existe alimentaci;Alarm entering state when there is no re;Alarme arrivante en l'absence d'alimenta;
14930;No existe C-PLUG;C-PLUG not found;C-PLUG introuvable;
31314;Alarma entrante, si no se ha enchufado C;Alarm entering state when no C-PLUG was ;Alarme arrivante en l'absence de C-PLUG;
14932;C-PLUG defectuoso;C-PLUG defective;C-PLUG défectueux;
31316;Alarma entrante, si el C-PLUG está defec;Alarm entering state when C-PLUG is defe;Alarme arrivante lorsque le C-PLUG est d;
14934;erróneo C-PLUG;wrong C-PLUG;Le C-PLUG est incorrect;
31318;Alarma entrante si se ha enchufado errón;Incoming alarm when wrong C-PLUG is plug;Alarme apparaissante si aucun C-PLUG n'a;
8256;;;;
24640;;;;
11648;Cortocircuito;Short circuit;Court-circuit;
28032;Compruebe el estado de las líneas de con;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
15040;Baja tensión;Low voltage;Sous-tension;
31424;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
2120;Sobretensión;Overvoltage;Surtension;
18504;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
5512;Sobrecarga;Overload;Surcharge;
21896;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
8904;Sobretemperatura;Overtemperature;Surchauffe;
25288;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
12296;Rotura de hilo;Wire break;Rupture de fil;
28680;Compruebe el estado de las líneas de con;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
15688;Límite superior excedido;High limit exceeded;Limite supérieure dépassée;
32072;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
2768;Límite inferior excedido;Low limit exceeded;Limite inférieure sous-dépassée;
19152;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
6160;Fallo;Error;Erreur;
22544;;;;
9552;Simulación activa;Simulation active;Simulation active;
25936;;;;
12944;Reservado;Reserved;réservé;
29328;;;;
24;Reservado;Reserved;réservé;
16408;;;;
3416;Reservado;Reserved;réservé;
19800;;;;
6808;Reservado;Reserved;réservé;
23192;;;;
10200;Falta el parámetro;Parameter missing;Paramètre manquant;
26584;;;;
13592;Error parametrización;Parameter assignment error;Erreur de paramétrage;
29976;Causa posible: módulo defectuoso o param;Possible Cause: Module either not at all;Cause possible : Le module n'est pas par;
672;Falta el conector flontal o la alimentación del sensor o la tensión de carga.;Front connector missing, sensor or load voltage missing;Le connecteur frontal, la tension de capteur ou de charge manque.;
17056;Causa posible: falta tensión de alimenta;Possible cause: Supply voltage missing o;Cause possible : La tension d'alimentati;
4064;Fusible defectuoso.;Fuse defective;Fusible défectueux.;
20448;Causa posible: fallo del fusible repuest;Possible Cause: User's replaceable fuse ;Cause possible : Le fusible échangeable ;
7456;Fallo de comunicación;Communication error;Erreur de communication;
23840;Causa posible: interrupción de la comuni;Possible Cause: Communication to the mod;Cause possible : Communication au module;
10848;Error de masa;Ground error;Erreur de masse;
27232;Causa posible: se ha excedido el modo Co;Possible Cause: Exceeding the allowable ;Cause possible : Dépassement du Common M;
14240;Error canal referencia;Reference channel error;Erreur sur voie de référence;
30624;Causa posible error en el canal de refer;Possible Cause: Error on the reference c;Cause possible : Erreur sur voie de réfé;
1320;Pérdida alarma de proceso o error de aviso;Process interrupt lost or message error;Alarme de processus perdue ou erreur de message;
17704;Causa posible: error de marco, error de ;Possible Cause: Frame error, parity erro;Cause possible : Erreur de cadre, erreur;
4712;Advertencia;Warning;Avertissement;
21096;Causa posible: se han excedido los valor;Possible Cause: Exceeding the actuator l;Cause possible : Dépassement des seuils ;
8104;Desconexión;Shutoff;Arrêt;
24488;Causa posible: liberación del interrupto;Possible Cause: Trigger a line switch du;Cause possible : Déclenchement d'un disj;
11496;Desconexión de seguridad;Fail-safe shutoff;Arrêt de sécurité;
27880;Causa posible: liberación de desconexión;Possible Cause: Trigger for fail-safe sh;Cause possible : Présence d'un déclenche;
14888;Fallo externo;external error;Erreur externe;
31272;Causa posible: rotura de cable o cortoci;Possible Cause: Wire break or short circ;Cause possible : Rupture de fil ou court;
1968;Fallo indefinido;ambiguous error;Erreur indéfinie;
18352;Causa posible: proceso de aprendizaje en;Possible Cause: Teach-in process running;Cause possible : Une procédure d'apprent;
5360;Reservado;Reserved;réservé;
21744;;;;
8752;Fallo 1 en actuador / sensor;Fault 1 in actuator/sensor;Erreur 1 dans actionneur / capteur;
25136;;;;
12144;Fallo 2 en actuador / sensor;Fault 2 in actuator/sensor;Erreur 2 dans actionneur / capteur;
28528;;;;
15536;Canal no disponible temporalmente;Channel temporarily not available;Voie temporairement indisponible;
31920;Causa posible: calibración, actualizació;Possible cause: Calibration, firmware up;Cause possible : Calibrage, mise à jour ;
12072;Transferencia de datos imposible; @5W%t#ET200S-20110429@;Data transmission impossible; @5W%t#ET200S-20110429@;Transmission de données impossible; @5W%t#ET200S-20110429@;
28456;Ayuda: Transferencia de datos imposible;;Help: Data transmission impossible; @5W%;Aide : transmission de données impossibl;
13768;No hay conexión física en el puerto;No physical connection on port;Pas de connexion physique au port;
30152;Se ha configurado la vigilancia del puer;Port monitoring was configured, there is;Une surveillance de port a été configuré;
13769;Error en "Soporte de transferencia/dúplex";Error with "Transfer medium/duplex";Erreur pour "Support de transmission/Duplex";
30153;"Soporte de transferencia / dúplex" se h;"Transfer medium / duplex" was configure;"Support de transmission / Duplex" a été;
13770;Error al comprobar los datos de línea;Error during cable data check;Erreur à la vérification des données de câble;
30154;Causas posibles:
 - La longitud de línea;Possible causes:
 - The discovered cable;Causes possibles :
 - La longueur de câb;
15464;Error en el partner; @5W%t#ET200S-20110429@;Remote mismatch; @5W%t#ET200S-20110429@;Erreur partenaire; @5W%t#ET200S-20110429@;
31848;Ayuda: Error en el partner; @5W%t#ET200S;Help: Remote mismatch; @5W%t#ET200S-2011;Aide : erreur partenaire; @5W%t#ET200S-2;
848;Partner incorrecto;Wrong partner;Partenaire incorrect;
17232;Se ha configurado una conexión de puerto;A port interconnection was configured bu;Une connexion de port a été configurée, ;
849;Puerto partner erróneo;Wrong partner port;Port partenaire incorrect;
17233;Se ha configurado una conexión de puerto;A port interconnection was configured bu;Une connexion de port a été configurée, ;
850;IRT (Top Performance) no es posible en este puerto;IRT (top performance) not possible at this port;IRT (Top Performance) impossible sur ce port;
17234;Causas posibles:
 - Otros errores de com;Possible causes:
 - Other communications;Causes possibles :
 - Autres erreurs de ;
851;Incoherencia en "Soporte de transferencia / dúplex";Inconsistency in "transmission medium / duplex";Incohérence pour "Support de transmission / Duplex";
17235;Se ha configurado el "Medio de transmisi;"Transmission medium/duplex" was configu;"Support de transmission/Duplex" a été c;
852;Incoherencia en la configuración MRP / cableado;Inconsistent MRP configuration / wiring;Incohérence de la configuration MRP / du câblage;
17236;Se ha configurado un dominio MRP, pero l;MRP domain was configured; the local set;Domaine MRP configuré ; la sélection loc;
853;Imposible detectar el vecino;The neighbor could not be identified;Le voisin n'a pas pu être détecté;
17237;Se ha configurado una conexión de puerto;A port interconnection was configured bu;Une connexion de port a été configurée, ;
854;Incoherencia en la configuración MRRT;Inconsistent MRRT configuration;Incohérence de la configuration MRRT;
17238;Se ha configurado la característica MRRT;The MRRT feature was configured; the loc;L'attribut MRRT  a été configuré; les op;
855;Diferencia al determinar la longitud del cable;Difference in cable length measurement;Différence à la détermination de longueur de câble;
17239;Se ha configurado "Soporte de transferen;"Transmission medium / Duplex" was confi;"Support de transmission / Duplex" a été;
1272;El nombre del dominio Sync se utiliza repetidas veces;Sync domain name used more than once;Nom de domaine Sync utilisé plusieurs fois;
17656;En la subred Ethernet se han configurado;Two sync domains with the same name were;Deux domaines Sync de même nom ont été c;
2544;Error de redundancia de medios; @5W%t#ET200S-20110429@;Media redundancy mismatch; @5W%t#ET200S-20110429@;Erreur de redondance de supports de transmission; @5W%t#ET200S-20110429@;
18928;Ayuda: Redundancia de medios; @5W%t#ET20;Help: Media redundancy mismatch; @5W%t#E;Aide : erreur de redondance de supports ;
4240;El manager de redundancia no puede asumir la función configurada.;Redundancy manager cannot adopt the configured role;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;
20624;Indica que el manager de redundancia asu;Indicates that the configured redundancy;Signifie que le gestionnaire de redondan;
4241;Anillo abierto;Ring opened;Anneau ouvert;
20625;Indica que el anillo se ha interrumpido ;Indicates that the ring has been interru;Indique que l'anneau est interrompu unil;
4242;Redundancia RT no garantizada;RT redundancy not effective;Redondance RT plus garantie;
20626;Indica que el anillo para la comunicació;Indicates that the ring is not closed fo;Indique que l'anneau n'est pas fermé pou;
4243;En el anillo se encuentran varios administradores de redundancia;There is more than one redundancy manager in the ring;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;
20627;Indica que en el anillo se encuentran va;Indicates that more than one device in t;Indique que plusieurs appareils assument;
5936;Pérdida de sincronización; @5W%t#ET200S-20110429@;Sync mismatch; @5W%t#ET200S-20110429@;Perte de synchronisation; @5W%t#ET200S-20110429@;
22320;Ayuda: Pérdida de sincronización; @5W%t#;Help: Sync mismatch; @5W%t#ET200S-201104;Aide : perte de synchronisation; @5W%t#E;
7632;No se sincroniza el SyncSlave;Sync slave will not be synchronized;L'esclave Sync ne sera pas synchronisé;
24016;El equipo es un SyncSlave y no se sincro;The station is a sync slave and it is no;La station est un esclave Sync et n'est ;
7635;Equipo no síncrono;Station not synchronized;Station non synchrone;
24019;La sincronización está fuera del rango d;Synchronization is outside the range of ;La synchronisation se trouve hors de la ;
9328;Error de modo isócrono; @5W%t#ET200S-20110429@;Isochronous mode mismatch; @5W%t#ET200S-20110429@;Erreur de synchronisme d'horloge; @5W%t#ET200S-20110429@;
25712;Ayuda: Error de modo isócrono; @5W%t#ET2;Help: Isochronous mode mismatch; @5W%t#E;Aide : erreur de synchronisme d'horloge;;
12720;Error CR multicast; @5W%t#ET200S-20110429@;Multicast CR mismatch; @5W%t#ET200S-20110429@;Erreur Multicast CR; @5W%t#ET200S-20110429@;
29104;Ayuda: Error CR multicast; @5W%t#ET200S-;Help: Multicast CR mismatch; @5W%t#ET200;Aide : Erreur CR Multicast; @5W%t#ET200S;
16112;Reservado; @5W%t#ET200S-20110429@;Reserved; @5W%t#ET200S-20110429@;réservé; @5W%t#ET200S-20110429@;
32496;Ayuda: Ayuda; @5W%t#ET200S-20110429@;Help: Reserved; @5W%t#ET200S-20110429@;Aide : réservée; @5W%t#ET200S-20110429@;
3192;Error fibra óptica; @5W%t#ET200S-20110429@;Fiber optics mismatch; @5W%t#ET200S-20110429@;Erreur fibre optique; @5W%t#ET200S-20110429@;
19576;Ayuda: Error fibra óptica; @5W%t#ET200S-;Help: Fiber optics mismatch; @5W%t#ET200;Aide : erreur fibre optique; @5W%t#ET200;
4888;Reserva de sistema de fibra óptica crítica;FO link power margin critical;Réserve système FO critique;
21272;La reserva de sistema FO se encuentra po;The FO link power margin is below the @2;La réserve système FO se trouve en -dess;
6584;Error de función del componente de red; @5W%t#ET200S-20110429@;Network component function mismatch; @5W%t#ET200S-20110429@;Erreur de fonctionnement du composant réseau; @5W%t#ET200S-20110429@;
22968;Ayuda: Error de función del componente d;Help: Network component function mismatc;Aide : erreur de fonctionnement du compo;
8280;Debido a sobrecarga se han rechazado paquetes de datos;Data packets discarded due to overload;Paquets de données rejetés pour surcharge;
24664;Como mínimo @2D%1d@ paquetes de datos ha;At least @2D%1d@ data packets were disca;@2D%1d@ paquets de données au minimum on;
9976;Error de tiempo; @5W%t#ET200S-20110429@;Time mismatch; @5W%t#ET200S-20110429@;Erreur d'horloge; @5W%t#ET200S-20110429@;
26360;Ayuda: Error de tiempo; @5W%t#ET200S-201;Help: Time mismatch; @5W%t#ET200S-201104;Aide : erreur de temporisation; @5W%t#ET;
