//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;;
$_Languages;;;;
32192;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configur;
15936;Surchauffe;Sobretemperatura;Overtemperature;
32320;Contrôlez les caractéristiques techniques des composants liés.;Compruebe los datos técnicos de los componentes conectados.;Check the technical specifications of the connected components.;
16064;Rupture de fil;Rotura de hilo;Wire break;
32448;Contrôlez l'état des câbles de liaison.;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;
16192;Limite supérieure dépassée;Límite superior excedido;High limit exceeded;
32576;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configur;
8;Limite inférieure sous-dépassée;Límite inferior excedido;Low limit exceeded;
16392;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configur;
136;Erreur;Fallo;Error;
16520;;;;
264;Simulation active;Simulación activa;Simulation active;
16648;;;;
392;réservé;Reservado;Reserved;
16776;;;;
520;réservé;Reservado;Reserved;
16904;;;;
648;réservé;Reservado;Reserved;
17032;;;;
776;réservé;Reservado;Reserved;
17160;;;;
904;Paramètre manquant;Falta el parámetro;Parameter missing;
17288;;;;
1032;Erreur de paramétrage;Error de parametrización;Parameter assignment error;
17416;Cause : paramètres de module incorrects. Solution : vérifiez et corrigez les par;Causa: Parámetros de módulo incorrectos. Solución: Comprobar parámetros y correg;Cause: Bad module parameter. Remedy: Check and correct parameter. Then reload.;
1160;Absence de tension capteur ou de charge;Falta tensión de sensores o de carga;Power supply fault;
17544;Cause : absence de tension d'alimentation. Solution : vérifiez le câblage ou bra;Causa: Falta tensión de carga. Solución: Comprobar el cableado o conectar la ali;Cause: No power supply. Remedy: Check wiring or turn on power supply.;
1288;Fusible defectueux;Fusible defectuoso;Fuse blown / open;
17672;Cause : surcharge. Solution : supprimez la cause de la surcharge. Remplacez ensu;Causa: Sobrecarga. Solución: Eliminar la causa de la sobrecarga. Seguidamente su;Cause: Overload. Remedy: Remove cause of overload. The replace fuse.;
1416;Emplacement non accessible;El slot no responde;Slot cannot be addressed;
17800;Cause : erreur de communication à cause multiple. Solution : dépend de la cause.;Causa: Error de comunicación de diferente origen. Solución: Depende de la causa.;Cause: Communication error with various possible causes. Remedy: Depends on caus;
1544;Défaut à la masse;Defecto a masa;Ground fault;
17928;Cause : dépassement de la tension mode commun ou rupture du câble M. Solution : ;Causa: Tensión en modo común rebasada o rotura del cable de masa. Solución: Comp;Cause: Common mode voltage exceeded or M cable disconnected. Remedy: Check wirin;
1672;Erreur de voie de référence;Error del canal de referencia;Reference point list;
18056;Cause : erreur de voie de référence. Solution : voir le manuel.;Causa: Error en el canal de referencia. Solución: Véase el manual.;Cause: Error on reference channel. Remedy: See manual.;
1800;Alarme de processus perdue;Alarma de proceso perdida;Process event lost / sampling error;
18184;Cause : alarme de processus. Solution : modifiez le traitement de l'alarme par l;Causa: Alarma de proceso. Solución: Cambiar el procesamiento de alarmas de la CP;Cause: Hardware interrupt. Remedy: Change interrupt handling of the CPU or chang;
1928;Avertissement actionneur;Advertencia de actuador;Threshold warning;
18312;Cause : actionneur signale un dépassement d'une valeur limite. Solution : vérifi;Causa: El actuador notifica el rebase de un valor límite. Solución: Comprobar la;Cause: Actuator signaling a limit value violation. Remedy: Check interaction of ;
2056;Coupure actionneur;Desconexión de actuador;Output disabled;
18440;Cause : problème d'actionneur détecté. Solution : supprimez la cause du problème;Causa: Se ha detectado un problema con el actuador. Solución: Eliminar la causa.;Cause: Problem detected on actuator. Remedy: Find and eliminate cause.;
2184;Arrêt de sécurité;Desconexión orientada a seguridad;Safety event;
18568;Cause : erreur de voie détectée. Solution : vérifiez la voie et supprimez l'erre;Causa: Se ha detectado un fallo en el canal. Solución: Comprobar el canal y elim;Cause: Error detected on channel. Remedy: Check channel and correct problem..;
2312;Défaut externe;Error externo;External fault;
18696;Cause : Erreur de capteur/actionneur détectée. Solution : remplacez le capteur/a;Causa: Se ha detectado un fallo en el sensor/actuador. Solución: Sustituir el se;Cause: Problem detected on sensor/actuator. Remedy: Replace sensor/actuator or c;
2440;Défaut non spécifié;Error no definido;Unidentified error;
18824;Cause : ne peut être spécifiée. Solution : voir le manuel.;Causa: No se puede especificar con detalle. Solución: Véase el manual.;Cause: Cannot be specified in greater detail. Remedy: See manual.;
2568;réservé;Reservado;Reserved;
18952;;;;
2696;Erreur 1 dans actionneur / capteur;Fallo 1 en actuador / sensor;Fault 1 in actuator/sensor;
19080;;;;
2824;Erreur 2 dans actionneur / capteur;Fallo 2 en actuador / sensor;Fault 2 in actuator/sensor;
19208;;;;
2952;Erreur temporaire;Fallo temporal;Temporary error;
19336;;;;
15368;Linkup illicite;Linkup no permitido;Illegal linkup;
31752;Etat de connexion différent des spécifications de l'enregistrement de paramétrag;Estado de link distinto del predeterminado en el registro de datos de parametriz;Link status different from setting in parameter data record 200;
15496;Linkdown illicite;Linkdown no permitido;Illegal linkdown;
31880;Etat de connexion différent des spécifications de l'enregistrement de paramétrag;Estado de link distinto del predeterminado en el registro de datos de parametriz;Link status different from setting in parameter data record 200;
15624;Vitesse de transmission illicite;Velocidad de transmisión no permitida;Illegal transmission rate;
32008;Vitesse de transmission différente des spécifications de l'enregistrement de par;Velocidad de transmisión distinta de la predeterminada en el registro de datos d;Transmission rate different from setting in parameter data record 3;
15752;Duplexity illicite;Duplexity no permitida;Illegal duplexity;
32136;Duplexity différente des spécifications de l'enregistrement de paramétrage 3;Duplexity ditinta de la predeterminada en el registro de datos de parametrizació;Duplexity different from setting in parameter data record 3;
15880;Surcharge de trames;Sobrecarga de frame;Frame overload;
32264;Les télégrammes rejetés dépassent le seuil spécifié dans l'enregistrement de par;Los telegramas rechazados sobrepasan o no alcanzan el valor umbral ajustado en e;More or less discarded frames than set as threshold value in parameter data reco;
15440;Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20100120@;Transferencia de datos imposible; @5W%t#A02A-SCALANCE_X200-20100120@;Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20100120@;
31824;Aide : transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20100120@;Ayuda: Transferencia de datos imposible; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20100120@;
15504;Pas de connexion physique au port;No hay conexión física en el puerto;No physical connection on port;
31888;Une surveillance de port a été configurée, mais il n'existe pas de connexion phy;Se ha configurado la vigilancia del puerto, pero no hay conexión física en el mi;Port monitoring was configured, there is however no physical connection on the p;
15505;Erreur pour "Support de transmission/Duplex";Error en "Soporte de transferencia/dúplex";Error with "Transfer medium/duplex";
31889;"Support de transmission / Duplex" a été configuré ; la sélection de port déterm;"Soporte de transferencia / dúplex" se ha configurado; la configuración de puert;"Transfer medium / duplex" was configured; the current port setting resulting fr;
15506;Erreur à la vérification des données de câble;Error al comprobar los datos de línea;Error during cable data check;
31890;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 ;Causas posibles:
 - La longitud de línea determinada es superior al valor predet;Possible causes:
 - The discovered cable length is longer than the one configure;
15568;Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20100120@;Error en el partner; @5W%t#A02A-SCALANCE_X200-20100120@;Remote mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
31952;Aide : erreur partenaire; @5W%t#A02A-SCALANCE_X200-20100120@;Ayuda: Error en el partner; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Remote mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
15632;Partenaire incorrect;Partner incorrecto;Wrong partner;
32016;Une connexion de port a été configurée, un autre partenaire a été déterminé pour;Se ha configurado una conexión de puerto, pero en el puerto se ha detectado un p;A port interconnection was configured but a different partner was detected at th;
15633;Port partenaire incorrect;Puerto partner erróneo;Wrong partner port;
32017;Une connexion de port a été configurée, un autre port partenaire a été déterminé;Se ha configurado una conexión de puerto, pero en el puerto se ha determinado un;A port interconnection was configured but a different partner port was detected ;
15634;IRT (Top Performance) impossible sur ce port;IRT (Top Performance) no es posible en este puerto;IRT (top performance) not possible at this port;
32018;Causes possibles :
 - Autres erreurs de communication sur ce port ou sur le port;Causas posibles:
 - Otros errores de comunicación en este puerto o en el puerto ;Possible causes:
 - Other communications errors on this or on the partner port a;
15635;Incohérence pour "Support de transmission / Duplex";Incoherencia en "Soporte de transferencia / dúplex";Inconsistency in "transmission medium / duplex";
32019;"Support de transmission/Duplex" a été configuré ; les options sélectionnées pou;Se ha configurado el "Medio de transmisión/dúplex"; el ajuste local del puerto n;"Transmission medium/duplex" was configured; the local setting of the port does ;
15636;Incohérence de la configuration MRP / du câblage;Incoherencia en la configuración MRP / cableado;Inconsistent MRP configuration / wiring;
32020;Domaine MRP configuré ; la sélection locale du port ne correspond pas à celle du;Se ha configurado un dominio MRP, pero la configuración del puerto local no conc;MRP domain was configured; the local setting of the port does not match the sett;
15637;Le voisin n'a pas pu être détecté;Imposible detectar el vecino;The neighbor could not be identified;
32021;Une connexion de port a été configurée, un partenaire précis n'a pas été détecté;Se ha configurado una conexión de puerto, en el puerto no se ha detectado exacta;A port interconnection was configured but a single partner was not detected at t;
15638;Incohérence de la configuration MRRT;Incoherencia en la configuración MRRT;Inconsistent MRRT configuration;
32022;L'attribut MRRT  a été configuré; les options sélectionnées pour le port ne sont;Se ha configurado la característica MRRT; el ajuste local del puerto no es compa;The MRRT feature was configured; the local setting of the port does not match th;
15639;Différence à la détermination de longueur de câble;Diferencia al determinar la longitud del cable;Difference in cable length measurement;
32023;"Support de transmission / Duplex" a été configuré. Les deux partenaires ont dét;Se ha configurado "Soporte de transferencia / dúplex". Ambos partner han detecta;"Transmission medium / Duplex" was configured. The two partners have cable lengt;
15648;Nom de domaine Sync utilisé plusieurs fois;El nombre del dominio Sync se utiliza repetidas veces;Sync domain name used more than once;
32032;Deux domaines Sync de même nom ont été configurés dans le réseau Ethernet.
Solut;En la subred Ethernet se han configurado dos dominios Sync con el mismo nombre.
;Two sync domains with the same name were configured in the Ethernet subnet.
Reme;
15696;Erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20100120@;Error de redundancia de medios; @5W%t#A02A-SCALANCE_X200-20100120@;Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
32080;Aide : erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X20;Ayuda: Redundancia de medios; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
15760;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;El manager de redundancia no puede asumir la función configurada.;Redundancy manager cannot adopt the configured role;
32144;Signifie que le gestionnaire de redondance configuré remplit le rôle de client e;Indica que el manager de redundancia asume la función de cliente y que otro mana;Indicates that the configured redundancy manager adopts the role of client, anot;
15761;Anneau ouvert;Anillo abierto;Ring opened;
32145;Indique que l'anneau est interrompu unilatéralement. La redondance n'est plus ga;Indica que el anillo se ha interrumpido unilateralmente. No se garantiza la redu;Indicates that the ring has been interrupted. Redundancy is no longer effective.;
15762;Redondance RT plus garantie;Redundancia RT no garantizada;RT redundancy not effective;
32146;Indique que l'anneau n'est pas fermé pour la communication RT. Causes possibles ;Indica que el anillo para la comunicación RT no está cerrado. Causas posibles:
 ;Indicates that the ring is not closed for RT communication. Possible causes:
 - ;
15763;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;En el anillo se encuentran varios administradores de redundancia;There is more than one redundancy manager in the ring;
32147;Indique que plusieurs appareils assument le rôle de gestionnaire de redondance d;Indica que en el anillo se encuentran varios dispositivos que asumen la función ;Indicates that more than one device in the ring adopts the redundancy manager ro;
15824;Perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20100120@;Pérdida de sincronización; @5W%t#A02A-SCALANCE_X200-20100120@;Sync mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
32208;Aide : perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20100120@;Ayuda: Pérdida de sincronización; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Sync mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
15888;L'esclave Sync ne sera pas synchronisé;No se sincroniza el SyncSlave;Sync slave will not be synchronized;
32272;La station est un esclave Sync et n'est pas synchronisée.
Causes possibles :
 - ;El equipo es un SyncSlave y no se sincroniza.
Causas posibles:
 - El SyncMaster ;The station is a sync slave and it is not synchronized.
Possible causes:
 - The ;
15891;Station non synchrone;Equipo no síncrono;Station not synchronized;
32275;La synchronisation se trouve hors de la plage de tolérance ; le signal de référe;La sincronización está fuera del rango de tolerancia; la señal de referencia no ;Synchronization is outside the range of tolerance; the reference signal is not a;
15952;Erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;Error de modo isócrono; @5W%t#A02A-SCALANCE_X200-20100120@;Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
32336;Aide : erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;Ayuda: Error de modo isócrono; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
16080;Erreur Multicast CR; @5W%t#A02A-SCALANCE_X200-20100120@;Error CR multicast; @5W%t#A02A-SCALANCE_X200-20100120@;Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
32464;Aide : Erreur CR Multicast; @5W%t#A02A-SCALANCE_X200-20100120@;Ayuda: Error CR multicast; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
16208;réservé; @5W%t#A02A-SCALANCE_X200-20100120@;Reservado; @5W%t#A02A-SCALANCE_X200-20100120@;Reserved; @5W%t#A02A-SCALANCE_X200-20100120@;
32592;Aide : réservée; @5W%t#A02A-SCALANCE_X200-20100120@;Ayuda: Ayuda; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Reserved; @5W%t#A02A-SCALANCE_X200-20100120@;
24;Erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20100120@;Error fibra óptica; @5W%t#A02A-SCALANCE_X200-20100120@;Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
16408;Aide : erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20100120@;Ayuda: Error fibra óptica; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
88;Réserve système FO critique;Reserva de sistema de fibra óptica crítica;FO link power margin critical;
16472;La réserve système FO se trouve en -dessous du seuil @2D%1d@ dB 
Solution : nett;La reserva de sistema FO se encuentra por debajo del umbral de @2D%1d@ dB
Soluci;The FO link power margin is below the @2D%1d@ dB threshold
Remedy: Clean or repl;
152;Erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20100120@;Error de función del componente de red; @5W%t#A02A-SCALANCE_X200-20100120@;Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
16536;Aide : erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20;Ayuda: Error de función del componente de red; @5W%t#A02A-SCALANCE_X200-20100120;Help: Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
216;Paquets de données rejetés pour surcharge;Debido a sobrecarga se han rechazado paquetes de datos;Data packets discarded due to overload;
16600;@2D%1d@ paquets de données au minimum ont été rejetés en raison d'un manque temp;Como mínimo @2D%1d@ paquetes de datos han sido rechazados por escasez de recurso;At least @2D%1d@ data packets were discarded due to a lack of resources.
Possibl;
280;Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;Error de tiempo; @5W%t#A02A-SCALANCE_X200-20100120@;Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
16664;Aide : erreur de temporisation; @5W%t#A02A-SCALANCE_X200-20100120@;Ayuda: Error de tiempo; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;
856;Configuration incohérente/Spécification du routeur par défaut;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;
17240;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
;Se ha configurado un gateway predeterminado como mínimo para otro interface. Est;A standard gateway has been configured for at least one additional interface tha;
857;Configuration incohérente/Spécification du NameOfStation;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;
17241;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce m;Para otra interfaz de este módulo ya se ha configurado/asignado un nombre de dis;A NameOfStation which is identical to the specification for this interface has a;
858;Configuration incohérente/Spécification de l'adresse IP;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;
17242;Une adresse IP a déjà été configurée/attribuée pour une autre interface. Elle se;Para otra interfaz ya se ha configurado/asignado una dirección IP que se encuent;An IP address which is in the same subnet as the IP address of this interface ha;
1320;Pas d'alimentation redondante;sin alimentación el. redundante;No redundant PS;
17704;Alarme arrivante en l'absence d'alimentation redondante;Alarma entrante, si no existe alimentación el. redundante;Alarm entering state when there is no redundant PS;
1322;C-PLUG introuvable;No existe C-PLUG;C-PLUG not found;
17706;Alarme arrivante en l'absence de C-PLUG;Alarma entrante, si no se ha enchufado C-PLUG;Alarm entering state when no C-PLUG was inserted;
1324;C-PLUG défectueux;C-PLUG defectuoso;C-PLUG defective;
17708;Alarme arrivante lorsque le C-PLUG est défectueux;Alarma entrante, si el C-PLUG está defectuoso;Alarm entering state when C-PLUG is defective;
1326;Le C-PLUG est incorrect;erróneo C-PLUG;wrong C-PLUG;
17710;Alarme apparaissante si aucun C-PLUG n'a incorrect;Alarma entrante si se ha enchufado erróneo C-PLUG;Incoming alarm when wrong C-PLUG is plugged in;
2112;;;;
18496;;;;
2240;Court-circuit;Cortocircuito;Short circuit;
18624;Contrôlez l'état des câbles de liaison.;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;
2368;Sous-tension;Baja tensión;Low voltage;
18752;Contrôlez l'alimentation en tension.;Compruebe la fuente de alimentación.;Verify the power supply.;
2496;Surtension;Sobretensión;Overvoltage;
18880;Contrôlez l'alimentation en tension.;Compruebe la fuente de alimentación.;Verify the power supply.;
2624;Surcharge;Sobrecarga;Overload;
19008;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configur;
2752;Surchauffe;Sobretemperatura;Overtemperature;
19136;Contrôlez les caractéristiques techniques des composants liés.;Compruebe los datos técnicos de los componentes conectados.;Check the technical specifications of the connected components.;
2880;Rupture de fil;Rotura de hilo;Wire break;
19264;Contrôlez l'état des câbles de liaison.;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;
3008;Limite supérieure dépassée;Límite superior excedido;High limit exceeded;
19392;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configur;
3136;Limite inférieure sous-dépassée;Límite inferior excedido;Low limit exceeded;
19520;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configur;
3264;Erreur;Fallo;Error;
19648;;;;
3392;Simulation active;Simulación activa;Simulation active;
19776;;;;
3520;réservé;Reservado;Reserved;
19904;;;;
3648;réservé;Reservado;Reserved;
20032;;;;
3776;réservé;Reservado;Reserved;
20160;;;;
3904;réservé;Reservado;Reserved;
20288;;;;
4032;Paramètre manquant;Falta el parámetro;Parameter missing;
20416;;;;
4160;Erreur de paramétrage;Error parametrización;Parameter assignment error;
20544;Cause possible : Le module n'est pas paramétré ou est mal paramétré.  Solution :;Causa posible: módulo defectuoso o parametrizado incorrectamente. Remedio: corre;Possible Cause: Module either not at all or incorrectly assigned parameters.  Er;
4288;Le connecteur frontal, la tension de capteur ou de charge manque.;Falta el conector flontal o la alimentación del sensor o la tensión de carga.;Front connector missing, sensor or load voltage missing;
20672;Cause possible : La tension d'alimentation manque ou est trop basse.  Solution :;Causa posible: falta tensión de alimentación o es insuficiente. Solución: correg;Possible cause: Supply voltage missing or too low.  Remedy: Check front connecto;
4416;Fusible défectueux.;Fusible defectuoso.;Fuse defective;
20800;Cause possible : Le fusible échangeable par l'utilisateur est tombé.  Solution :;Causa posible: fallo del fusible repuesto por el operario. Remedio: cambiar fusi;Possible Cause: User's replaceable fuse fallen.  Error remedy: Exchange the fuse;
4544;Erreur de communication;Fallo de comunicación;Communication error;
20928;Cause possible : Communication au module perturbée.  Solution : vérifiez le para;Causa posible: interrupción de la comunicación con el módulo. Remedio: comprobar;Possible Cause: Communication to the module interrupted. Error remedy: Check the;
4672;Erreur de masse;Error de masa;Ground error;
21056;Cause possible : Dépassement du Common Mode admissible pour les voies liées à la;Causa posible: se ha excedido el modo Common en canales sin separación galvánica;Possible Cause: Exceeding the allowable common mode at non-isolated channels or ;
4800;Erreur sur voie de référence;Error canal referencia;Reference channel error;
21184;Cause possible : Erreur sur voie de référence.  Solution : vérifiez le module de;Causa posible error en el canal de referencia.  Remedio: comprobar módulo de ref;Possible Cause: Error on the reference channel. Error remedy: Check the referenc;
4928;Alarme de processus perdue ou erreur de message;Pérdida alarma de proceso o error de aviso;Process interrupt lost or message error;
21312;Cause possible : Erreur de cadre, erreur de parité.  Solution : vérifiez les opt;Causa posible: error de marco, error de paridad. Remedio: comprobar ajustes de c;Possible Cause: Frame error, parity error. Error remedy: Check the communication;
5056;Avertissement;Advertencia;Warning;
21440;Cause possible : Dépassement des seuils d'actionneur (vitesse, courant de charge;Causa posible: se han excedido los valores límites de actuador (velocidad, inten;Possible Cause: Exceeding the actuator limit value (rotational speed, load curre;
5184;Arrêt;Desconexión;Shutoff;
21568;Cause possible : Déclenchement d'un disjoncteur à cause d'un court-circuit, d'un;Causa posible: liberación del interruptor automático por cortocircuito, asimetrí;Possible Cause: Trigger a line switch due to short circuit, or asymmetry or grou;
5312;Arrêt de sécurité;Desconexión de seguridad;Fail-safe shutoff;
21696;Cause possible : Présence d'un déclencheur d'arrêt de sécurité.  Solution : corr;Causa posible: liberación de desconexión de seguridad.  Remedio: solucionar caus;Possible Cause: Trigger for fail-safe shutoff is present.  Error remedy: Elimina;
5440;Erreur externe;Fallo externo;external error;
21824;Cause possible : Rupture de fil ou court-circuit des signaux du capteur ou câble;Causa posible: rotura de cable o cortocircuito de la señales de sensor o bien el;Possible Cause: Wire break or short circuit of the  encoder signal or encoder ca;
5568;Erreur indéfinie;Fallo indefinido;ambiguous error;
21952;Cause possible : Une procédure d'apprentissage est en cours. Une aide à l'ajusta;Causa posible: proceso de aprendizaje en curso. Ayuda de ajuste activa (en 4 IQ-;Possible Cause: Teach-in process running. Alignment tool is active (for 4 IQ-SEN;
5696;réservé;Reservado;Reserved;
22080;;;;
5824;Erreur 1 dans actionneur / capteur;Fallo 1 en actuador / sensor;Fault 1 in actuator/sensor;
22208;;;;
5952;Erreur 2 dans actionneur / capteur;Fallo 2 en actuador / sensor;Fault 2 in actuator/sensor;
22336;;;;
6080;Voie temporairement indisponible;Canal no disponible temporalmente;Channel temporarily not available;
22464;Cause possible : Calibrage, mise à jour du firmware, mode manuel ...;Causa posible: calibración, actualización del firmware, modo manual, ...;Possible cause: Calibration, firmware update, manual operation, ...;
2256;Transmission de données impossible; @5W%t#ET200S-20110429@;Transferencia de datos imposible; @5W%t#ET200S-20110429@;Data transmission impossible; @5W%t#ET200S-20110429@;
18640;Aide : transmission de données impossible; @5W%t#ET200S-20110429@;Ayuda: Transferencia de datos imposible; @5W%t#ET200S-20110429@;Help: Data transmission impossible; @5W%t#ET200S-20110429@;
2320;Pas de connexion physique au port;No hay conexión física en el puerto;No physical connection on port;
18704;Une surveillance de port a été configurée, mais il n'existe pas de connexion phy;Se ha configurado la vigilancia del puerto, pero no hay conexión física en el mi;Port monitoring was configured, there is however no physical connection on the p;
