"V01.00.000"
"$_Languages"
"10(1) Espagnol (traditionnel)";"12(1) Français (France)";"9(2) Anglais (Royaume-Uni)";"513(1) Key"
"TODAS LAS ZONAS DE LA ISLA EN MARCHA MANUAL PARA AUTORIZAR LA SALVAGUARDA SOBRE
MMC
*ODIL_ID:2_201*
";"TOUTES LES ZONES DE L ILOT EN MARCHE MANUEL POUR AUTORISER LA SAUVEGARDE SUR
MMC
*ODIL_ID:2_201*
";"TODAS LAS ZONAS DE LA ISLA EN MARCHA MANUAL PARA AUTORIZAR LA SALVAGUARDA SOBRE
MMC
*ODIL_ID:2_201*
";""
"GESTION DE LA SALVAGUARDA DE DATOS API HACIA LA CARTA MMC DE LA CPU
*ODIL_ID:2_202*
";"GESTION DE LA SAUVERGARDE DES DONNEES API VERS LA CARTE MMC DE LA CPU
*ODIL_ID:2_202*
";"GESTION DE LA SALVAGUARDA DE DATOS API HACIA LA CARTA MMC DE LA CPU
*ODIL_ID:2_202*
";""
"*******************************************************************************
**         AUTOMATIC PRODUCCION DATA BACKUP AND MANUAL RESTIT ON MOP PC      **
*******************************************************************************
*ODIL_ID:2_203*
";"*******************************************************************************
**         AUTOMATIC PRODUCTION DATA BACKUP AND MANUAL RESTIT ON MOP PC      **
*******************************************************************************
*ODIL_ID:2_203*
";"*******************************************************************************
**         AUTOMATIC PRODUCCION DATA BACKUP AND MANUAL RESTIT ON MOP PC      **
*******************************************************************************
*ODIL_ID:2_203*
";""
"LANZAR LA TRANSFERENCIA DEL API HACIA EL PC DEL MOP
*ODIL_ID:2_205*
";"LANCER LE TRANSFERT DE L API VERS LE PC DU MOP
*ODIL_ID:2_205*
";"LANZAR LA TRANSFERENCIA DEL API HACIA EL PC DEL MOP
*ODIL_ID:2_205*
";""
"FIN DE TRANSFERENCIA DEL API HACIA EL PC DEL MOP
*ODIL_ID:2_206*
";"FIN DE TRANSFERT DE L API VERS LE PC DU MOP
*ODIL_ID:2_206*
";"FIN DE TRANSFERENCIA DEL API HACIA EL PC DEL MOP
*ODIL_ID:2_206*
";""
"STATE RETURN VALUE / ESTADO DE TRANSFERENCIA DE DATOS API / PC:
0 = TRANSFERENCIA ENABLE (FREE OF USE) / AUTORIZACION DE TRANSFERENCIA
2 = TRANSFERENCIA IN PROGRESS / TRANSFERENCIA EN CURSO
4 = END OF TRANSFERENCIA OK / FIN DE TRANSFERENCIA OK
12 = END OF TRANSFERENCIA NOK / FIN DE TRANSFERENCIA NOK
*ODIL_ID:2_207*
";"STATE RETURN VALUE / ETAT DU TRANSFERT DE DONNEES API / PC:
0 = TRANSFERT ENABLE (FREE OF USE) / AUTORISATION DE TRANSFERT
2 = TRANSFERT IN PROGRESS / TRANSFERT EN COURS
4 = END OF TRANSFERT OK / FIN DE TRANSFERT OK
12 = END OF TRANSFERT NOK / FIN DE TRANSFERT NOK
*ODIL_ID:2_207*
";"STATE RETURN VALUE / ESTADO DE TRANSFERENCIA DE DATOS API / PC:
0 = TRANSFERENCIA ENABLE (FREE OF USE) / AUTORIZACION DE TRANSFERENCIA
2 = TRANSFERENCIA IN PROGRESS / TRANSFERENCIA EN CURSO
4 = END OF TRANSFERENCIA OK / FIN DE TRANSFERENCIA OK
12 = END OF TRANSFERENCIA NOK / FIN DE TRANSFERENCIA NOK
*ODIL_ID:2_207*
";""
"GESTION INTERCAMBIOS DEL NUMERO DE PAGINA EN CURSO SOBRE EL IHM + FECHA Y HORA
*ODIL_ID:2_300*
";"GESTION ECHANGES DU NUMERO DE PAGE EN COURS SUR L IHM + DATE ET HEURE
*ODIL_ID:2_300*
";"GESTION INTERCAMBIOS DEL NUMERO DE PAGINA EN CURSO SOBRE EL IHM + FECHA Y HORA
*ODIL_ID:2_300*
";""
"ESTABLACIMIENTO ENLACE SIPTOL CARTA 1
VERIFICAR LA PARAMETRIZACION DEL BLOQUE EN FUNCION DE VUESTRA CONFIGURACION MATERIAL
*ODIL_ID:2_400*
";"ETABLISSEMENT LIAISON SIPTOL CARTE 1
VERIFIER LE PARAMETRAGE DU BLOC EN FONCTION DE VOTRE CONFIGURATION MATERIELLE
*ODIL_ID:2_400*
";"ESTABLACIMIENTO ENLACE SIPTOL CARTA 1
VERIFICAR LA PARAMETRIZACION DEL BLOQUE EN FUNCION DE VUESTRA CONFIGURACION MATERIAL
*ODIL_ID:2_400*
";""
"SEGUIMIENTO SIPTOL E INTERCAMBIO DE INFORMACION CARTA 1 CON BLOQUE
*ODIL_ID:2_401*
";"SUIVI SIPTOL ET ECHANGE D'INFORMATION CARTE 1 AVEC BLOC
*ODIL_ID:2_401*
";"SEGUIMIENTO SIPTOL E INTERCAMBIO DE INFORMACION CARTA 1 CON BLOQUE
*ODIL_ID:2_401*
";""
"*******************************************************************************
**                              HARDWARE HMI                                 **
*******************************************************************************
*ODIL_ID:64_0*
";"*******************************************************************************
**                              HARDWARE HMI                                 **
*******************************************************************************
*ODIL_ID:64_0*
";"*******************************************************************************
**                              HARDWARE HMI                                 **
*******************************************************************************
*ODIL_ID:64_0*
";""
"DIAGNOSTICO ESTADO DISYUNTOR
*ODIL_ID:234_12*
";"DIAGNOSTIQUE ETAT DISJONCTEUR
*ODIL_ID:234_12*
";"DIAGNOSTICO ESTADO DISYUNTOR
*ODIL_ID:234_12*
";""
"DIAGNOSTICO ESTADO DISYUNTOR
*ODIL_ID:236_12*
";"DIAGNOSTIQUE ETAT DISJONCTEUR
*ODIL_ID:236_12*
";"DIAGNOSTICO ESTADO DISYUNTOR
*ODIL_ID:236_12*
";""
"DIAGNOSTICO ESTADO DISYUNTOR
*ODIL_ID:238_12*
";"DIAGNOSTIQUE ETAT DISJONCTEUR
*ODIL_ID:238_12*
";"DIAGNOSTICO ESTADO DISYUNTOR
*ODIL_ID:238_12*
";""
"DIAGNOSTICO ESTADO DISYUNTOR
";"DIAGNOSTIQUE ETAT DISJONCTEUR
";"DIAGNOSTICO ESTADO DISYUNTOR
";""
"Z1ZB: DEF. CARTA DE SEGURIDAD
*ODIL_ID:279_13*
";"Z1ZB: DEF. CARTE DE SECURITE
*ODIL_ID:279_13*
";"Z1ZB: DEF. CARTA DE SEGURIDAD
*ODIL_ID:279_13*
";""
"*******************************************************************************
**                           SAFETY PROGRAM HMI                              **
*******************************************************************************
*ODIL_ID:64_11*
";"*******************************************************************************
**                           SAFETY PROGRAM HMI                              **
*******************************************************************************
*ODIL_ID:64_11*
";"*******************************************************************************
**                           SAFETY PROGRAM HMI                              **
*******************************************************************************
*ODIL_ID:64_11*
";""
"DIAGNOSTICO CONTROL RELES MASA
*ODIL_ID:240_12*
";"DIAGNOSTIC CONTROLE RELAIS MASSE
*ODIL_ID:240_12*
";"DIAGNOSTICO CONTROL RELES MASA
*ODIL_ID:240_12*
";""
"Z1ZB:  DEF. COMUN SEGURIDAD AU (SC1)
*ODIL_ID:248_13*
";"Z1ZB:  DEF. COMMUN SECURITE AU (SC1)
*ODIL_ID:248_13*
";"Z1ZB:  DEF. COMUN SEGURIDAD AU (SC1)
*ODIL_ID:248_13*
";""
"Z1ZB:  DEF. CONTACTOR SEGURIDAD AU (SC1)
*ODIL_ID:243_13*
";"Z1ZB:  DEF. CONTACTEUR SECURITE AU (SC1)
*ODIL_ID:243_13*
";"Z1ZB:  DEF. CONTACTOR SEGURIDAD AU (SC1)
*ODIL_ID:243_13*
";""
"Z1ZB:  DEF. COMUN SEGURIDAD ES (ES)
*ODIL_ID:250_13*
";"Z1ZB:  DEF. COMMUN SECURITE ES (ES)
*ODIL_ID:250_13*
";"Z1ZB:  DEF. COMUN SEGURIDAD ES (ES)
*ODIL_ID:250_13*
";""
"Z1ZB:  DEF. COMUN SEGURIDAD FZ (FZ)
*ODIL_ID:252_13*
";"Z1ZB:  DEF. COMMUN SECURITE FZ (FZ)
*ODIL_ID:252_13*
";"Z1ZB:  DEF. COMUN SEGURIDAD FZ (FZ)
*ODIL_ID:252_13*
";""
"Z1ZB:  DEF. COMUN SEGURIDAD FZTR (SC4)
*ODIL_ID:254_13*
";"Z1ZB:  DEF. COMMUN SECURITE FZTR (SC4)
*ODIL_ID:254_13*
";"Z1ZB:  DEF. COMUN SEGURIDAD FZTR (SC4)
*ODIL_ID:254_13*
";""
"L1IM1:  DEF. COMUN SEGURIDAD FRONIUS

";"L1IM1:  DEF. COMMUN SECURITE FRONIUS

";"L1IM1:  DEF. COMUN SEGURIDAD FRONIUS

";""
"Z1ZB:  DEF. RELES FRENO VARIADOR A0";"Z1ZB:  DEF. RELAIS FREIN VARIATEUR A0";"Z1ZB:  DEF. RELES FRENO VARIADOR A0";""
"Z1ZB:  DEF. RELES FRENO VARIADOR C0";"Z1ZB:  DEF. RELAIS FREIN VARIATEUR C0";"Z1ZB:  DEF. RELES FRENO VARIADOR C0";""
"Z1ZB:  DEF. RELES FRENO VARIADOR D0";"Z1ZB:  DEF. RELAIS FREIN VARIATEUR D0";"Z1ZB:  DEF. RELES FRENO VARIADOR D0";""
"Z1ZB:  DEF. RELES FRENO VARIADOR G0";"Z1ZB:  DEF. RELAIS FREIN VARIATEUR G0";"Z1ZB:  DEF. RELES FRENO VARIADOR G0";""
"DIAGNOSTICO EV AIRE
*ODIL_ID:242_16*
";"DIAGNOSTIC EV AIR
*ODIL_ID:242_16*
";"DIAGNOSTICO EV AIRE
*ODIL_ID:242_16*
";""
"DIAGNOSTICO PUERTA 1
*ODIL_ID:546_141*
";"DIAGNOSTIC PORTE 1
*ODIL_ID:546_141*
";"DIAGNOSTICO PUERTA 1
*ODIL_ID:546_141*
";""
"Z1SPA1: DEF. CARTA DE SEGURIDAD
*ODIL_ID:735_13*
";"Z1SPA1: DEF. CARTE DE SECURITE
*ODIL_ID:735_13*
";"Z1SPA1: DEF. CARTA DE SEGURIDAD
*ODIL_ID:735_13*
";""
"DIAGNOSTICO PUERTA 2
*ODIL_ID:745_142*
";"DIAGNOSTIC PORTE 2
*ODIL_ID:745_142*
";"DIAGNOSTICO PUERTA 2
*ODIL_ID:745_142*
";""
"Z1SPA2: DEF. CARTA DE SEGURIDAD
*ODIL_ID:934_13*
";"Z1SPA2: DEF. CARTE DE SECURITE
*ODIL_ID:934_13*
";"Z1SPA2: DEF. CARTA DE SEGURIDAD
*ODIL_ID:934_13*
";""
"DIAGNOSTICO PUERTA 3
*ODIL_ID:944_143*
";"DIAGNOSTIC PORTE 3
*ODIL_ID:944_143*
";"DIAGNOSTICO PUERTA 3
*ODIL_ID:944_143*
";""
"Z1SPA3: DEF. CARTA DE SEGURIDAD
*ODIL_ID:1133_13*
";"Z1SPA3: DEF. CARTE DE SECURITE
*ODIL_ID:1133_13*
";"Z1SPA3: DEF. CARTA DE SEGURIDAD
*ODIL_ID:1133_13*
";""
"DIAGNOSTICO PUERTA 4";"DIAGNOSTIC PORTE 4";"DIAGNOSTICO PUERTA 4";""
"*******************************************************************************
**                                  MONITORING                               **
*******************************************************************************
*ODIL_ID:64_7*
";"*******************************************************************************
**                                  MONITORING                               **
*******************************************************************************
*ODIL_ID:64_7*
";"*******************************************************************************
**                                  MONITORING                               **
*******************************************************************************
*ODIL_ID:64_7*
";""
"CAIDA RAZ CONTADOR PRODUCCION ZONA
*ODIL_ID:64_71*
";"RETOMBEE RAZ COMPTEUR PRODUCTION ZONE
*ODIL_ID:64_71*
";"CAIDA RAZ CONTADOR PRODUCCION ZONA
*ODIL_ID:64_71*
";""
"RAZ CONTADOR PRODUCCION ZONA
*ODIL_ID:64_70*
";"RAZ COMPTEUR PRODUCTION ZONE
*ODIL_ID:64_70*
";"RAZ CONTADOR PRODUCCION ZONA
*ODIL_ID:64_70*
";""
"DEMANDA DOCUMENTACION ZONA 1
*ODIL_ID:64_8*
";"DEMANDE DOCUMENTATION ZONE 1
*ODIL_ID:64_8*
";"DEMANDA DOCUMENTACION ZONA 1
*ODIL_ID:64_8*
";""
"DEMANDA PREVENTIVO ZONA
*ODIL_ID:64_9*
";"DEMANDE PREVENTIF ZONE
*ODIL_ID:64_9*
";"DEMANDA PREVENTIVO ZONA
*ODIL_ID:64_9*
";""
"DEFECTO MAYOR
*ODIL_ID:64_10*
";"DEFAUT MAJEUR
*ODIL_ID:64_10*
";"DEFECTO MAYOR
*ODIL_ID:64_10*
";""
"*******************************************************************************
**                      RUNNING MODO AND ZONA OPERACION                      **
*******************************************************************************
*ODIL_ID:64_18*
";"*******************************************************************************
**                      RUNNING MODE AND ZONE OPERATION                      **
*******************************************************************************
*ODIL_ID:64_18*
";"*******************************************************************************
**                      RUNNING MODO AND ZONA OPERACION                      **
*******************************************************************************
*ODIL_ID:64_18*
";""
"INFORMACION AUSENCIA PIEZA PARA MARCHA VACIO
CONTROL DE LA AUSENCIA DE TODOS LOS DETECTORES PIEZAS DE MONTAJES.
-PARA LOS ROBOTS DE MANUT, ON CONTROL L'INFO PIEZA AUSENTE SHUNTE PAR LA Z*MDV)
-PARA LOS PERIMETROS FLEXIBLES, SE CONTROLA LA AUSENCIA DE PALETA POR LOS
DETECTORES DE PARADA ROTACION, DE PARADA GV Y DE POSICION.
ALL STAGE OF ZONE MUST APPEAR IN THIS RUNG.YOU HAVE ONE INFORMACION ""IAP"" BY
 STAGE.
*ODIL_ID:64_19*
";"INFORMATION ABSENCE PIECE POUR DEVERMINAGE
CONTROLE DE L'ABSCENCE DE TOUS LES DETECTEURS PIECES DES MONTAGES.
-POUR LES ROBOTS DE MANUT, ON CONTROLE L'INFO PIECE ABSENTE SHUNTE PAR LA Z*MDV)
-POUR LES PERIMETRES FLEXIBLES, ON CONTROLE L'ABSCENCE DE PALETTE PAR LES
DETECTEURS D'ARRET ROTATION, D'ARRET GV ET DE POSITION.
ALL STAGE OF ZONE MUST APPEAR IN THIS RUNG.YOU HAVE ONE INFORMATION ""IAP"" BY
 STAGE.
*ODIL_ID:64_19*
";"INFORMACION AUSENCIA PIEZA PARA MARCHA VACIO
CONTROL DE LA AUSENCIA DE TODOS LOS DETECTORES PIEZAS DE MONTAJES.
-PARA LOS ROBOTS DE MANUT, ON CONTROL L'INFO PIEZA AUSENTE SHUNTE PAR LA Z*MDV)
-PARA LOS PERIMETROS FLEXIBLES, SE CONTROLA LA AUSENCIA DE PALETA POR LOS
DETECTORES DE PARADA ROTACION, DE PARADA GV Y DE POSICION.
ALL STAGE OF ZONE MUST APPEAR IN THIS RUNG.YOU HAVE ONE INFORMACION ""IAP"" BY
 STAGE.
*ODIL_ID:64_19*
";""
"INFORMACION PIEZA AUSENTE
ALL STAGE OF ZONA MUST APPEAR IN THIS RUNG.YOU HAVE ONE INFORMACION ""IPA"" BY
STAGE.
*ODIL_ID:64_20*
";"INFORMATION PIECE ABSENTE
ALL STAGE OF ZONE MUST APPEAR IN THIS RUNG.YOU HAVE ONE INFORMATION ""IPA"" BY
STAGE.
*ODIL_ID:64_20*
";"INFORMACION PIEZA AUSENTE
ALL STAGE OF ZONA MUST APPEAR IN THIS RUNG.YOU HAVE ONE INFORMACION ""IPA"" BY
STAGE.
*ODIL_ID:64_20*
";""
"INFORMACION ZONA TODOS LOS ROBOTS EN AUTOMATICO
*ODIL_ID:64_200*
";"INFORMATION ZONE TOUS LES ROBOTS EN AUTOMATIQUE
*ODIL_ID:64_200*
";"INFORMACION ZONA TODOS LOS ROBOTS EN AUTOMATICO
*ODIL_ID:64_200*
";""
"INFORMACION TODOS LOS ROBOTS DE LA ZONA A REPLI
*ODIL_ID:64_201*
";"INFORMATION TOUS LES ROBOTS DE LA ZONE AU REPLI
*ODIL_ID:64_201*
";"INFORMACION TODOS LOS ROBOTS DE LA ZONA A REPLI
*ODIL_ID:64_201*
";""
"INICIALIZACION DEL MODO AUTO PARA LAS SOP Y FORZADO MODO NORMAL SI NINGUN MODO
SELECCIONADO
*ODIL_ID:64_38*
";"INITIALISATION DU MODE AUTO POUR LES SOP ET FORCAGE MODE NORMAL SI AUCUN MODE
SELECTIONNE
*ODIL_ID:64_38*
";"INICIALIZACION DEL MODO AUTO PARA LAS SOP Y FORZADO MODO NORMAL SI NINGUN MODO
SELECCIONADO
*ODIL_ID:64_38*
";""
"GESTION PUPITRE, MODO DE MARCHA Y OPERACION ZONA
*ODIL_ID:64_21*
";"GESTION PUPITRE, MODE DE MARCHE ET OPERATION ZONE
*ODIL_ID:64_21*
";"GESTION PUPITRE, MODO DE MARCHA Y OPERACION ZONA
*ODIL_ID:64_21*
";""
"LAMPARA INICIO CICLO
*ODIL_ID:64_23*
";"VOYANT DEPART CYCLE
*ODIL_ID:64_23*
";"LAMPARA INICIO CICLO
*ODIL_ID:64_23*
";""
"LAMPARA PARADA CICLO SOBRE PUERTA
*ODIL_ID:64_24*
";"VOYANT ARRET CYCLE SUR PORTE
*ODIL_ID:64_24*
";"LAMPARA PARADA CICLO SOBRE PUERTA
*ODIL_ID:64_24*
";""
"DEFECTO COMUNICACION PUPITRE 1
*ODIL_ID:351_25*
";"DEFAUT COMMUNICATION PUPITRE 1
*ODIL_ID:351_25*
";"DEFECTO COMUNICACION PUPITRE 1
*ODIL_ID:351_25*
";""
"DEFECTO COMUNICACION PUPITRE 2
*ODIL_ID:30771_25*
";"DEFAUT COMMUNICATION PUPITRE 2
*ODIL_ID:30771_25*
";"DEFECTO COMUNICACION PUPITRE 2
*ODIL_ID:30771_25*
";""
"DEFECTO COMUNICACION PUPITRE 3
*ODIL_ID:31307_25*
";"DEFAUT COMMUNICATION PUPITRE 3
*ODIL_ID:31307_25*
";"DEFECTO COMUNICACION PUPITRE 3
*ODIL_ID:31307_25*
";""
"PERDIDA MARCHA AUTO
*ODIL_ID:64_26*
";"PERTE MARCHE AUTO
*ODIL_ID:64_26*
";"PERDIDA MARCHA AUTO
*ODIL_ID:64_26*
";""
"PERDIDA MARCHA CICLO
*ODIL_ID:64_27*
";"PERTE MARCHE CYCLE
*ODIL_ID:64_27*
";"PERDIDA MARCHA CICLO
*ODIL_ID:64_27*
";""
"MARCHA CICLO DE TODOS LOS ROBOTS
*ODIL_ID:64_270*
";"MARCHE CYCLE DE TOUT LES ROBOTS
*ODIL_ID:64_270*
";"MARCHA CICLO DE TODOS LOS ROBOTS
*ODIL_ID:64_270*
";""
"INFORMACION PARADA FIN DE JORNADA PARA CORTE PUESTA EN SERVICIO ZONA EN EL
PROGRAMA SAFETY
*ODIL_ID:64_271*
";"INFORMATION ARRET FIN DE JOURNEE POUR COUPURE MISE EN SERVICE ZONE DANS LE
PROGRAMME SAFETY
*ODIL_ID:64_271*
";"INFORMACION PARADA FIN DE JORNADA PARA CORTE PUESTA EN SERVICIO ZONA EN EL
PROGRAMA SAFETY
*ODIL_ID:64_271*
";""
"TIEMPO CADENCIA ZONA
*ODIL_ID:64_28*
";"TEMPS CADENCE ZONE
*ODIL_ID:64_28*
";"TIEMPO CADENCIA ZONA
*ODIL_ID:64_28*
";""
"INFORMACION TIEMPO REQUERIDO
*ODIL_ID:64_29*
";"INFORMATION TEMPS REQUIS
*ODIL_ID:64_29*
";"INFORMACION TIEMPO REQUERIDO
*ODIL_ID:64_29*
";""
"********************************************************************************
**                            MARCHA VACIO                                     **
********************************************************************************
";"********************************************************************************
**                            DEVERMINAGE                                     **
********************************************************************************
";"********************************************************************************
**                            MARCHA VACIO                                     **
********************************************************************************
";""
"*******************************************************************************
**                         NUMERO DE PIEZA A HACER                           **
*******************************************************************************
";"*******************************************************************************
**                         NOMBRE DE PIECE A FAIRE                           **
*******************************************************************************
";"*******************************************************************************
**                         NUMERO DE PIEZA A HACER                           **
*******************************************************************************
";""
"A0L: PIEZA A HACER";"A0L: PIECE A FAIRE";"A0L: PIEZA A HACER";""
"D0L: PIEZA A HACER";"D0L: PIECE A FAIRE";"D0L: PIEZA A HACER";""
"*******************************************************************************
**                           GESTION CAMBIO ELECTRODOS                   **
*******************************************************************************
";"*******************************************************************************
**                           GESTION CHANGEMENT ELECTRODES                   **
*******************************************************************************
";"*******************************************************************************
**                           GESTION CAMBIO ELECTRODOS                   **
*******************************************************************************
";""
"SMPLOC : CAMBIO DE ELECTRODOS DE LA ZONA";"SMPLOC : CHANGEMENT D'ELECTRODES DE LA ZONE";"SMPLOC : CAMBIO DE ELECTRODOS DE LA ZONA";""
"SMPLOC : APF ZONA EN CAMBIO ELECTRODOS";"SMPLOC : APF ZONE EN CHANGEMENT ELECTRODES";"SMPLOC : APF ZONA EN CAMBIO ELECTRODOS";""
"AL MENOS 1 ROBOT SELECCIONADO EN CAMBIO";"AU MOINS 1 ROBOT SELECTIONNE EN CHANGEMENT";"AL MENOS 1 ROBOT SELECCIONADO EN CAMBIO";""
