//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.,,,,
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel,,,,
$_Languages,,,,
7(5) German (Liechtenstein),10(1) Spanish (Traditional Sort),9(1) English (United States),12(1) French (France),
21928,Causa: No se puede especificar con detal,Cause: Cannot be specified in greater de,Cause : ne peut être spécifiée. Solution,
6760,Reservado,Reserved,réservé,
23144,,,,
7976,Fallo 1 en actuador / sensor,Fault 1 in actuator/sensor,Erreur 1 dans actionneur / capteur,
24360,,,,
9192,Fallo 2 en actuador / sensor,Fault 2 in actuator/sensor,Erreur 2 dans actionneur / capteur,
25576,,,,
10408,Fallo temporal,Temporary error,Erreur temporaire,
26792,,,,
14176,Linkup no permitido,Illegal linkup,Linkup illicite,
30560,Estado de link distinto del predetermina,Link status different from setting in pa,Etat de connexion différent des spécific,
15392,Linkdown no permitido,Illegal linkdown,Linkdown illicite,
31776,Estado de link distinto del predetermina,Link status different from setting in pa,Etat de connexion différent des spécific,
296,Velocidad de transmisión no permitida,Illegal transmission rate,Vitesse de transmission illicite,
16680,Velocidad de transmisión distinta de la ,Transmission rate different from setting,Vitesse de transmission différente des s,
1512,Duplexity no permitida,Illegal duplexity,Duplexity illicite,
17896,Duplexity ditinta de la predeterminada e,Duplexity different from setting in para,Duplexity différente des spécifications ,
2728,Sobrecarga de frame,Frame overload,Surcharge de trames,
19112,Los telegramas rechazados sobrepasan o n,More or less discarded frames than set a,Les télégrammes rejetés dépassent le seu,
6704,Transferencia de datos imposible; @5W%t#A02A-SCALANCE_X200-20070405@,Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20070405@,Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20070405@,
23088,Ayuda: Transferencia de datos imposible;,Help: Data transmission impossible; @5W%,Aide : transmission de données impossibl,
7312,No hay conexión física en el puerto,No physical connection on port,Pas de connexion physique au port,
23696,Se ha configurado la vigilancia del puer,Port monitoring was configured, there is,Une surveillance de port a été configuré,
7313,Error en "Soporte de transferencia/dúplex",Error with "Transfer medium/duplex",Erreur pour "Support de transmission/Duplex",
23697,"Soporte de transferencia / dúplex" se h,"Transfer medium / duplex" was configure,"Support de transmission / Duplex" a été,
7314,Error al comprobar los datos de línea,Error during cable data check,Erreur à la vérification des données de câble,
23698,Causas posibles:
 - La longitud de línea,Possible causes:
 - The discovered cable,Causes possibles :
 - La longueur de câb,
7920,Error en el partner; @5W%t#A02A-SCALANCE_X200-20070405@,Remote mismatch; @5W%t#A02A-SCALANCE_X200-20070405@,Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20070405@,
24304,Ayuda: Error en el partner; @5W%t#A02A-S,Help: Remote mismatch; @5W%t#A02A-SCALAN,Aide : erreur partenaire; @5W%t#A02A-SCA,
8528,Partner incorrecto,Wrong partner,Partenaire incorrect,
24912,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
8529,Puerto partner erróneo,Wrong partner port,Port partenaire incorrect,
24913,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
8530,IRT (Top Performance) no es posible en este puerto,IRT (top performance) not possible at this port,IRT (Top Performance) impossible sur ce port,
24914,Causas posibles:
 - Otros errores de com,Possible causes:
 - Other communications,Causes possibles :
 - Autres erreurs de ,
8531,Incoherencia en "Soporte de transferencia / dúplex",Inconsistency in "transmission medium / duplex",Incohérence pour "Support de transmission / Duplex",
24915,Se ha configurado el "Medio de transmisi,"Transmission medium/duplex" was configu,"Support de transmission/Duplex" a été c,
8532,Incoherencia en la configuración MRP / cableado,Inconsistent MRP configuration / wiring,Incohérence de la configuration MRP / du câblage,
24916,Se ha configurado un dominio MRP, pero l,MRP domain was configured; the local set,Domaine MRP configuré ; la sélection loc,
8533,Imposible detectar el vecino,The neighbor could not be identified,Le voisin n'a pas pu être détecté,
24917,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
8534,Incoherencia en la configuración MRRT,Inconsistent MRRT configuration,Incohérence de la configuration MRRT,
24918,Se ha configurado la característica MRRT,The MRRT feature was configured; the loc,L'attribut MRRT  a été configuré; les op,
8535,Diferencia al determinar la longitud del cable,Difference in cable length measurement,Différence à la détermination de longueur de câble,
24919,Se ha configurado "Soporte de transferen,"Transmission medium / Duplex" was confi,"Support de transmission / Duplex" a été,
8680,El nombre del dominio Sync se utiliza repetidas veces,Sync domain name used more than once,Nom de domaine Sync utilisé plusieurs fois,
25064,En la subred Ethernet se han configurado,Two sync domains with the same name were,Deux domaines Sync de même nom ont été c,
9136,Error de redundancia de medios; @5W%t#A02A-SCALANCE_X200-20070405@,Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20070405@,Erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20070405@,
25520,Ayuda: Redundancia de medios; @5W%t#A02A,Help: Media redundancy mismatch; @5W%t#A,Aide : erreur de redondance de supports ,
9744,El manager de redundancia no puede asumir la función configurada.,Redundancy manager cannot adopt the configured role,Le gestionnaire de redondance ne peut pas assumer le rôle configuré.,
26128,Indica que el manager de redundancia asu,Indicates that the configured redundancy,Signifie que le gestionnaire de redondan,
9745,Anillo abierto,Ring opened,Anneau ouvert,
26129,Indica que el anillo se ha interrumpido ,Indicates that the ring has been interru,Indique que l'anneau est interrompu unil,
9746,Redundancia RT no garantizada,RT redundancy not effective,Redondance RT plus garantie,
26130,Indica que el anillo para la comunicació,Indicates that the ring is not closed fo,Indique que l'anneau n'est pas fermé pou,
9747,En el anillo se encuentran varios administradores de redundancia,There is more than one redundancy manager in the ring,Il existe plusieurs gestionnaires de redondance au sein de l'anneau,
26131,Indica que en el anillo se encuentran va,Indicates that more than one device in t,Indique que plusieurs appareils assument,
10352,Pérdida de sincronización; @5W%t#A02A-SCALANCE_X200-20070405@,Sync mismatch; @5W%t#A02A-SCALANCE_X200-20070405@,Perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20070405@,
26736,Ayuda: Pérdida de sincronización; @5W%t#,Help: Sync mismatch; @5W%t#A02A-SCALANCE,Aide : perte de synchronisation; @5W%t#A,
10960,No se sincroniza el SyncSlave,Sync slave will not be synchronized,L'esclave Sync ne sera pas synchronisé,
27344,El equipo es un SyncSlave y no se sincro,The station is a sync slave and it is no,La station est un esclave Sync et n'est ,
10963,Equipo no síncrono,Station not synchronized,Station non synchrone,
27347,La sincronización está fuera del rango d,Synchronization is outside the range of ,La synchronisation se trouve hors de la ,
11568,Error de modo isócrono; @5W%t#A02A-SCALANCE_X200-20070405@,Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20070405@,Erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20070405@,
27952,Ayuda: Error de modo isócrono; @5W%t#A02,Help: Isochronous mode mismatch; @5W%t#A,Aide : erreur de synchronisme d'horloge;,
12784,Error CR multicast; @5W%t#A02A-SCALANCE_X200-20070405@,Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20070405@,Erreur Multicast CR; @5W%t#A02A-SCALANCE_X200-20070405@,
29168,Ayuda: Error CR multicast; @5W%t#A02A-SC,Help: Multicast CR mismatch; @5W%t#A02A-,Aide : Erreur CR Multicast; @5W%t#A02A-S,
14000,Reservado; @5W%t#A02A-SCALANCE_X200-20070405@,Reserved; @5W%t#A02A-SCALANCE_X200-20070405@,réservé; @5W%t#A02A-SCALANCE_X200-20070405@,
30384,Ayuda: Ayuda; @5W%t#A02A-SCALANCE_X200-2,Help: Reserved; @5W%t#A02A-SCALANCE_X200,Aide : réservée; @5W%t#A02A-SCALANCE_X20,
15216,Error fibra óptica; @5W%t#A02A-SCALANCE_X200-20070405@,Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20070405@,Erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20070405@,
31600,Ayuda: Error fibra óptica; @5W%t#A02A-SC,Help: Fiber optics mismatch; @5W%t#A02A-,Aide : erreur fibre optique; @5W%t#A02A-,
15824,Reserva de sistema de fibra óptica crítica,FO link power margin critical,Réserve système FO critique,
32208,La reserva de sistema FO se encuentra po,The FO link power margin is below the @2,La réserve système FO se trouve en -dess,
120,Error de función del componente de red; @5W%t#A02A-SCALANCE_X200-20070405@,Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20070405@,Erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20070405@,
16504,Ayuda: Error de función del componente d,Help: Network component function mismatc,Aide : erreur de fonctionnement du compo,
728,Debido a sobrecarga se han rechazado paquetes de datos,Data packets discarded due to overload,Paquets de données rejetés pour surcharge,
17112,Como mínimo @2D%1d@ paquetes de datos ha,At least @2D%1d@ data packets were disca,@2D%1d@ paquets de données au minimum on,
1336,Error de tiempo; @5W%t#A02A-SCALANCE_X200-20070405@,Time mismatch; @5W%t#A02A-SCALANCE_X200-20070405@,Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20070405@,
17720,Ayuda: Error de tiempo; @5W%t#A02A-SCALA,Help: Time mismatch; @5W%t#A02A-SCALANCE,Aide : erreur de temporisation; @5W%t#A0,
6808,Configuración incoherente/especificación del gateway predeterminado,Inconsistent configuration / specification of the standard gateway,Configuration incohérente/Spécification du routeur par défaut,
23192,Se ha configurado un gateway predetermin,A standard gateway has been configured f,Un autre routeur par défaut a été config,
6809,Configuración/especificación incoherente del nombre de dispositivo,Inconsistent configuration/specification of the NameOfStation,Configuration incohérente/Spécification du NameOfStation,
23193,Para otra interfaz de este módulo ya se ,A NameOfStation which is identical to th,Un NameOfStation a déjà été configuré /a,
6810,Configuración/especificación incoherente de la dirección IP,Inconsistent configuration/specification of the IP address,Configuration incohérente/Spécification de l'adresse IP,
23194,Para otra interfaz ya se ha configurado/,An IP address which is in the same subne,Une adresse IP a déjà été configurée/att,
11216,sin alimentación el. redundante,No redundant PS,Pas d'alimentation redondante,
27600,Alarma entrante, si no existe alimentaci,Alarm entering state when there is no re,Alarme arrivante en l'absence d'alimenta,
11218,No existe C-PLUG,C-PLUG not found,C-PLUG introuvable,
27602,Alarma entrante, si no se ha enchufado C,Alarm entering state when no C-PLUG was ,Alarme arrivante en l'absence de C-PLUG,
11220,C-PLUG defectuoso,C-PLUG defective,C-PLUG défectueux,
27604,Alarma entrante, si el C-PLUG está defec,Alarm entering state when C-PLUG is defe,Alarme arrivante lorsque le C-PLUG est d,
11222,erróneo C-PLUG,wrong C-PLUG,Le C-PLUG est incorrect,
27606,Alarma entrante si se ha enchufado errón,Incoming alarm when wrong C-PLUG is plug,Alarme apparaissante si aucun C-PLUG n'a,
0,,,,
16384,,,,
1912,Cortocircuito,Short circuit,Court-circuit,
18296,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
3128,Baja tensión,Low voltage,Sous-tension,
19512,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
4344,Sobretensión,Overvoltage,Surtension,
20728,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
5560,Sobrecarga,Overload,Surcharge,
21944,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
8,Sobretemperatura,Overtemperature,Surchauffe,
16392,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
7992,Rotura de hilo,Wire break,Rupture de fil,
24376,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
9208,Límite superior excedido,High limit exceeded,Limite supérieure dépassée,
25592,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
10424,Límite inferior excedido,Low limit exceeded,Limite inférieure sous-dépassée,
26808,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
11640,Fallo,Error,Erreur,
28024,,,,
12856,Simulación activa,Simulation active,Simulation active,
29240,,,,
14072,Reservado,Reserved,réservé,
30456,,,,
15288,Reservado,Reserved,réservé,
31672,,,,
192,Reservado,Reserved,réservé,
16576,,,,
1408,Reservado,Reserved,réservé,
17792,,,,
2624,Falta el parámetro,Parameter missing,Paramètre manquant,
19008,,,,
3840,Error de parametrización,Parameter assignment error,Erreur de paramétrage,
20224,Causa: Parámetros de módulo incorrectos.,Cause: Bad module parameter. Remedy: Che,Cause : paramètres de module incorrects.,
5056,Falta tensión de sensores o de carga,Power supply fault,Absence de tension capteur ou de charge,
21440,Causa: Falta tensión de carga. Solución:,Cause: No power supply. Remedy: Check wi,Cause : absence de tension d'alimentatio,
6272,Fusible defectuoso,Fuse blown / open,Fusible defectueux,
22656,Causa: Sobrecarga. Solución: Eliminar la,Cause: Overload. Remedy: Remove cause of,Cause : surcharge. Solution : supprimez ,
7488,El slot no responde,Slot cannot be addressed,Emplacement non accessible,
23872,Causa: Error de comunicación de diferent,Cause: Communication error with various ,Cause : erreur de communication à cause ,
8704,Defecto a masa,Ground fault,Défaut à la masse,
25088,Causa: Tensión en modo común rebasada o ,Cause: Common mode voltage exceeded or M,Cause : dépassement de la tension mode c,
9920,Error del canal de referencia,Reference point list,Erreur de voie de référence,
26304,Causa: Error en el canal de referencia. ,Cause: Error on reference channel. Remed,Cause : erreur de voie de référence. Sol,
11136,Alarma de proceso perdida,Process event lost / sampling error,Alarme de processus perdue,
27520,Causa: Alarma de proceso. Solución: Camb,Cause: Hardware interrupt. Remedy: Chang,Cause : alarme de processus. Solution : ,
12352,Advertencia de actuador,Threshold warning,Avertissement actionneur,
28736,Causa: El actuador notifica el rebase de,Cause: Actuator signaling a limit value ,Cause : actionneur signale un dépassemen,
13568,Desconexión de actuador,Output disabled,Coupure actionneur,
29952,Causa: Se ha detectado un problema con e,Cause: Problem detected on actuator. Rem,Cause : problème d'actionneur détecté. S,
14784,Desconexión orientada a seguridad,Safety event,Arrêt de sécurité,
31168,Causa: Se ha detectado un fallo en el ca,Cause: Error detected on channel. Remedy,Cause : erreur de voie détectée. Solutio,
16000,Error externo,External fault,Défaut externe,
32384,Causa: Se ha detectado un fallo en el se,Cause: Problem detected on sensor/actuat,Cause : Erreur de capteur/actionneur dét,
904,Error no definido,Unidentified error,Défaut non spécifié,
17288,Causa: No se puede especificar con detal,Cause: Cannot be specified in greater de,Cause : ne peut être spécifiée. Solution,
2120,Reservado,Reserved,réservé,
18504,,,,
3336,Fallo 1 en actuador / sensor,Fault 1 in actuator/sensor,Erreur 1 dans actionneur / capteur,
19720,,,,
4552,Fallo 2 en actuador / sensor,Fault 2 in actuator/sensor,Erreur 2 dans actionneur / capteur,
20936,,,,
5768,Fallo temporal,Temporary error,Erreur temporaire,
22152,,,,
9536,Linkup no permitido,Illegal linkup,Linkup illicite,
25920,Estado de link distinto del predetermina,Link status different from setting in pa,Etat de connexion différent des spécific,
10752,Linkdown no permitido,Illegal linkdown,Linkdown illicite,
27136,Estado de link distinto del predetermina,Link status different from setting in pa,Etat de connexion différent des spécific,
11968,Velocidad de transmisión no permitida,Illegal transmission rate,Vitesse de transmission illicite,
28352,Velocidad de transmisión distinta de la ,Transmission rate different from setting,Vitesse de transmission différente des s,
13184,Duplexity no permitida,Illegal duplexity,Duplexity illicite,
29568,Duplexity ditinta de la predeterminada e,Duplexity different from setting in para,Duplexity différente des spécifications ,
14400,Sobrecarga de frame,Frame overload,Surcharge de trames,
30784,Los telegramas rechazados sobrepasan o n,More or less discarded frames than set a,Les télégrammes rejetés dépassent le seu,
2064,Transferencia de datos imposible; @5W%t#A02A-SCALANCE_X200-20090303@,Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20090303@,Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20090303@,
18448,Ayuda: Transferencia de datos imposible;,Help: Data transmission impossible; @5W%,Aide : transmission de données impossibl,
2672,No hay conexión física en el puerto,No physical connection on port,Pas de connexion physique au port,
19056,Se ha configurado la vigilancia del puer,Port monitoring was configured, there is,Une surveillance de port a été configuré,
2673,Error en "Soporte de transferencia/dúplex",Error with "Transfer medium/duplex",Erreur pour "Support de transmission/Duplex",
19057,"Soporte de transferencia / dúplex" se h,"Transfer medium / duplex" was configure,"Support de transmission / Duplex" a été,
2674,Error al comprobar los datos de línea,Error during cable data check,Erreur à la vérification des données de câble,
19058,Causas posibles:
 - La longitud de línea,Possible causes:
 - The discovered cable,Causes possibles :
 - La longueur de câb,
3280,Error en el partner; @5W%t#A02A-SCALANCE_X200-20090303@,Remote mismatch; @5W%t#A02A-SCALANCE_X200-20090303@,Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20090303@,
19664,Ayuda: Error en el partner; @5W%t#A02A-S,Help: Remote mismatch; @5W%t#A02A-SCALAN,Aide : erreur partenaire; @5W%t#A02A-SCA,
3888,Partner incorrecto,Wrong partner,Partenaire incorrect,
20272,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
3889,Puerto partner erróneo,Wrong partner port,Port partenaire incorrect,
20273,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
3890,IRT (Top Performance) no es posible en este puerto,IRT (top performance) not possible at this port,IRT (Top Performance) impossible sur ce port,
20274,Causas posibles:
 - Otros errores de com,Possible causes:
 - Other communications,Causes possibles :
 - Autres erreurs de ,
3891,Incoherencia en "Soporte de transferencia / dúplex",Inconsistency in "transmission medium / duplex",Incohérence pour "Support de transmission / Duplex",
20275,Se ha configurado el "Medio de transmisi,"Transmission medium/duplex" was configu,"Support de transmission/Duplex" a été c,
3892,Incoherencia en la configuración MRP / cableado,Inconsistent MRP configuration / wiring,Incohérence de la configuration MRP / du câblage,
20276,Se ha configurado un dominio MRP, pero l,MRP domain was configured; the local set,Domaine MRP configuré ; la sélection loc,
3893,Imposible detectar el vecino,The neighbor could not be identified,Le voisin n'a pas pu être détecté,
20277,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
3894,Incoherencia en la configuración MRRT,Inconsistent MRRT configuration,Incohérence de la configuration MRRT,
20278,Se ha configurado la característica MRRT,The MRRT feature was configured; the loc,L'attribut MRRT  a été configuré; les op,
3895,Diferencia al determinar la longitud del cable,Difference in cable length measurement,Différence à la détermination de longueur de câble,
20279,Se ha configurado "Soporte de transferen,"Transmission medium / Duplex" was confi,"Support de transmission / Duplex" a été,
4040,El nombre del dominio Sync se utiliza repetidas veces,Sync domain name used more than once,Nom de domaine Sync utilisé plusieurs fois,
20424,En la subred Ethernet se han configurado,Two sync domains with the same name were,Deux domaines Sync de même nom ont été c,
4496,Error de redundancia de medios; @5W%t#A02A-SCALANCE_X200-20090303@,Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20090303@,Erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20090303@,
20880,Ayuda: Redundancia de medios; @5W%t#A02A,Help: Media redundancy mismatch; @5W%t#A,Aide : erreur de redondance de supports ,
5104,El manager de redundancia no puede asumir la función configurada.,Redundancy manager cannot adopt the configured role,Le gestionnaire de redondance ne peut pas assumer le rôle configuré.,
21488,Indica que el manager de redundancia asu,Indicates that the configured redundancy,Signifie que le gestionnaire de redondan,
5105,Anillo abierto,Ring opened,Anneau ouvert,
21489,Indica que el anillo se ha interrumpido ,Indicates that the ring has been interru,Indique que l'anneau est interrompu unil,
5106,Redundancia RT no garantizada,RT redundancy not effective,Redondance RT plus garantie,
21490,Indica que el anillo para la comunicació,Indicates that the ring is not closed fo,Indique que l'anneau n'est pas fermé pou,
5107,En el anillo se encuentran varios administradores de redundancia,There is more than one redundancy manager in the ring,Il existe plusieurs gestionnaires de redondance au sein de l'anneau,
21491,Indica que en el anillo se encuentran va,Indicates that more than one device in t,Indique que plusieurs appareils assument,
5712,Pérdida de sincronización; @5W%t#A02A-SCALANCE_X200-20090303@,Sync mismatch; @5W%t#A02A-SCALANCE_X200-20090303@,Perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20090303@,
22096,Ayuda: Pérdida de sincronización; @5W%t#,Help: Sync mismatch; @5W%t#A02A-SCALANCE,Aide : perte de synchronisation; @5W%t#A,
6320,No se sincroniza el SyncSlave,Sync slave will not be synchronized,L'esclave Sync ne sera pas synchronisé,
22704,El equipo es un SyncSlave y no se sincro,The station is a sync slave and it is no,La station est un esclave Sync et n'est ,
6323,Equipo no síncrono,Station not synchronized,Station non synchrone,
22707,La sincronización está fuera del rango d,Synchronization is outside the range of ,La synchronisation se trouve hors de la ,
6928,Error de modo isócrono; @5W%t#A02A-SCALANCE_X200-20090303@,Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20090303@,Erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20090303@,
23312,Ayuda: Error de modo isócrono; @5W%t#A02,Help: Isochronous mode mismatch; @5W%t#A,Aide : erreur de synchronisme d'horloge;,
8144,Error CR multicast; @5W%t#A02A-SCALANCE_X200-20090303@,Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20090303@,Erreur Multicast CR; @5W%t#A02A-SCALANCE_X200-20090303@,
24528,Ayuda: Error CR multicast; @5W%t#A02A-SC,Help: Multicast CR mismatch; @5W%t#A02A-,Aide : Erreur CR Multicast; @5W%t#A02A-S,
9360,Reservado; @5W%t#A02A-SCALANCE_X200-20090303@,Reserved; @5W%t#A02A-SCALANCE_X200-20090303@,réservé; @5W%t#A02A-SCALANCE_X200-20090303@,
25744,Ayuda: Ayuda; @5W%t#A02A-SCALANCE_X200-2,Help: Reserved; @5W%t#A02A-SCALANCE_X200,Aide : réservée; @5W%t#A02A-SCALANCE_X20,
