//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;
$_Languages;;;
7(5) Allemand (Liechtenstein);12(1) Français (France);9(1) Anglais (États-Unis);
11576;Erreur voie de reference;Reference channel error;
27960;;;
11704;Alarme processus perdue;Process interrupt lost;
28088;;;
11832;Attention;Warning;
28216;;;
11960;Arrêt;Shutoff;
28344;;;
12088;Arrêt de sécurité;Fail-safe shutoff;
28472;;;
12216;Defaut externe;external error;
28600;;;
12344;Defaut non specifie;ambiguous error;
28728;;;
12472;réservé;Reserved;
28856;;;
12600;Défaut 1 de l'actionn./du capt.;Actuator/sensor fault 1;
28984;;;
12728;Erreur 2 dans actionneur / capteur;Fault 2 in actuator/sensor;
29112;;;
12856;Channel temporary error;Channel temporary error;
29240;;;
9032;Transmission de données impossible; @5W%t#et200pro-20081113@;Data transmission impossible; @5W%t#et200pro-20081113@;
25416;Aide : transmission de données impossibl;Help: Data transmission impossible; @5W%;
9096;Pas de connexion physique au port;No physical connection on port;
25480;Une surveillance de port a été configuré;Port monitoring was configured, there is;
9097;Erreur pour "Support de transmission/Duplex";Error with "Transfer medium/duplex";
25481;"Support de transmission / Duplex" a été;"Transfer medium / duplex" was configure;
9098;Erreur lors du test de longueur de câble;Error in cable length check;
25482;Causes possibles :
 - La longueur de câb;Possible causes:
 - The detected cable l;
9160;Erreur partenaire; @5W%t#et200pro-20081113@;Remote mismatch; @5W%t#et200pro-20081113@;
25544;Aide : erreur partenaire; @5W%t#et200pro;Help: Remote mismatch; @5W%t#et200pro-20;
9224;Partenaire incorrect;Wrong partner;
25608;Une connexion de port a été configurée, ;A port interconnection was configured bu;
9225;Port partenaire incorrect;Wrong partner port;
25609;Une connexion de port a été configurée, ;A port interconnection was configured bu;
9226;IRT (Top Performance) impossible sur ce port;IRT (top performance) not possible at this port;
25610;Causes possibles :
 - Autres erreurs de ;Possible causes:
 - Other communications;
9227;Incohérence pour "Support de transmission / Duplex";Inconsistency in "transmission medium / duplex";
25611;"Support de transmission/Duplex" a été c;"Transmission medium/duplex" was configu;
9228;Incohérence de la configuration MRP / du câblage;Inconsistent MRP configuration / wiring;
25612;Domaine MRP configuré ; la sélection loc;MRP domain was configured; the local set;
9229;Le voisin n'a pas pu être détecté;The neighbor could not be identified;
25613;Une connexion de port a été configurée, ;A port interconnection was configured bu;
9230;Incohérence de la configuration MRRT;Inconsistent MRRT configuration;
25614;L'attribut MRRT  a été configuré; les op;The MRRT feature was configured; the loc;
9231;Différence à la détermination de longueur de câble;Difference in cable length measurement;
25615;"Support de transmission / Duplex" a été;"Transmission medium / Duplex" was confi;
9240;Nom de domaine Sync utilisé plusieurs fois;Sync domain name used more than once;
25624;Deux domaines Sync de même nom ont été c;Two sync domains with the same name were;
9288;Erreur de redondance de supports de transmission; @5W%t#et200pro-20081113@;Media redundancy mismatch; @5W%t#et200pro-20081113@;
25672;Aide : erreur de redondance de supports ;Help: Media redundancy mismatch; @5W%t#e;
9352;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;Redundancy manager cannot adopt the configured role;
25736;Signifie que le gestionnaire de redondan;Indicates that the configured redundancy;
9353;Anneau ouvert;Ring opened;
25737;Indique que l'anneau est interrompu unil;Indicates that the ring has been interru;
9354;Redondance RT plus garantie;RT redundancy not effective;
25738;Indique que l'anneau n'est pas fermé pou;Indicates that the ring is not closed fo;
9355;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;There is more than one redundancy manager in the ring;
25739;Indique que plusieurs appareils assument;Indicates that more than one device in t;
9416;Perte de synchronisation; @5W%t#et200pro-20081113@;Sync mismatch; @5W%t#et200pro-20081113@;
25800;Aide : perte de synchronisation; @5W%t#e;Help: Sync mismatch; @5W%t#et200pro-2008;
9480;L'esclave Sync ne sera pas synchronisé;Sync slave will not be synchronized;
25864;La station est un esclave Sync et n'est ;The station is a sync slave and it is no;
9483;Station non synchrone;Station not synchronized;
25867;La synchronisation se trouve hors de la ;Synchronization is outside the range of ;
9544;Erreur de synchronisme d'horloge; @5W%t#et200pro-20081113@;Isochrone mode mismatch; @5W%t#et200pro-20081113@;
25928;Aide : erreur de synchronisme d'horloge;;Help: Isochrone mode mismatch; @5W%t#et2;
9672;Erreur Multicast CR; @5W%t#et200pro-20081113@;Multicast CR mismatch; @5W%t#et200pro-20081113@;
26056;Aide : Erreur CR Multicast; @5W%t#et200p;Help: Multicast CR mismatch; @5W%t#et200;
9800;réservé; @5W%t#et200pro-20081113@;Reserved; @5W%t#et200pro-20081113@;
26184;Aide : réservée; @5W%t#et200pro-20081113;Help: Reserved; @5W%t#et200pro-20081113@;
9928;Erreur fibre optique; @5W%t#et200pro-20081113@;Fiber optics mismatch; @5W%t#et200pro-20081113@;
26312;Aide : erreur fibre optique; @5W%t#et200;Help: Fiber optics mismatch; @5W%t#et200;
9992;Réserve système FO critique;FO link power margin critical;
26376;La réserve système FO se trouve en -dess;The FO link power margin is below the @2;
10056;Erreur de fonctionnement du composant réseau; @5W%t#et200pro-20081113@;Network component function mismatch; @5W%t#et200pro-20081113@;
26440;Aide : erreur de fonctionnement du compo;Help: Network component function mismatc;
10120;Paquets de données rejetés pour surcharge;Data packets discarded due to overload;
26504;@2D%1d@ paquets de données au minimum on;At least @2D%1d@ data packets were disca;
10184;Erreur d'horloge; @5W%t#et200pro-20081113@;Time mismatch; @5W%t#et200pro-20081113@;
26568;Aide : erreur de temporisation; @5W%t#et;Help: Time mismatch; @5W%t#et200pro-2008;
9696;;;
26080;;;
9824;Court-circuit;Short circuit;
26208;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
9952;Sous-tension;Low voltage;
26336;Contrôlez l'alimentation en tension.;Verify the power supply.;
10080;Surtension;Overvoltage;
26464;Contrôlez l'alimentation en tension.;Verify the power supply.;
10208;Surcharge;Overload;
26592;Contrôlez les caractéristiques technique;Check the technical specifications of th;
10336;Surchauffe;Overtemperature;
26720;Contrôlez les caractéristiques technique;Check the technical specifications of th;
10464;Rupture de fil;Wire break;
26848;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
10592;Limite supérieure dépassée;High limit exceeded;
26976;Contrôlez les caractéristiques technique;Check the technical specifications of th;
10720;Limite inférieure sous-dépassée;Low limit exceeded;
27104;Contrôlez les caractéristiques technique;Check the technical specifications of th;
10848;Erreur;Error;
27232;;;
10976;Simulation active;Simulation active;
27360;;;
11104;réservé;Reserved;
27488;;;
11232;réservé;Reserved;
27616;;;
11360;réservé;Reserved;
27744;;;
11488;réservé;Reserved;
27872;;;
11616;Paramètre manquant;Parameter missing;
28000;;;
11744;Erreur de paramétrage;Parameter assignment error;
28128;Cause : paramètres de module incorrects.;Cause: Bad module parameter. Remedy: Che;
11872;Absence de tension capteur ou de charge;Power supply fault;
28256;Cause : absence de tension d'alimentatio;Cause: No power supply. Remedy: Check wi;
12000;Fusible defectueux;Fuse blown / open;
28384;Cause : surcharge. Solution : supprimez ;Cause: Overload. Remedy: Remove cause of;
12128;Emplacement non accessible;Slot cannot be addressed;
28512;Cause : erreur de communication à cause ;Cause: Communication error with various ;
12256;Défaut à la masse;Ground fault;
28640;Cause : dépassement de la tension mode c;Cause: Common mode voltage exceeded or M;
12384;Erreur de voie de référence;Reference point list;
28768;Cause : erreur de voie de référence. Sol;Cause: Error on reference channel. Remed;
12512;Alarme de processus perdue;Process event lost / sampling error;
28896;Cause : alarme de processus. Solution : ;Cause: Hardware interrupt. Remedy: Chang;
12640;Avertissement actionneur;Threshold warning;
29024;Cause : actionneur signale un dépassemen;Cause: Actuator signaling a limit value ;
12768;Coupure actionneur;Output disabled;
29152;Cause : problème d'actionneur détecté. S;Cause: Problem detected on actuator. Rem;
12896;Arrêt de sécurité;Safety event;
29280;Cause : erreur de voie détectée. Solutio;Cause: Error detected on channel. Remedy;
13024;Défaut externe;External fault;
29408;Cause : Erreur de capteur/actionneur dét;Cause: Problem detected on sensor/actuat;
13152;Défaut non spécifié;Unidentified error;
29536;Cause : ne peut être spécifiée. Solution;Cause: Cannot be specified in greater de;
13280;réservé;Reserved;
29664;;;
13408;Erreur 1 dans actionneur / capteur;Fault 1 in actuator/sensor;
29792;;;
13536;Erreur 2 dans actionneur / capteur;Fault 2 in actuator/sensor;
29920;;;
13664;Erreur temporaire;Temporary error;
30048;;;
9768;Linkup illicite;Illegal linkup;
26152;Etat de connexion différent des spécific;Link status different from setting in pa;
9896;Linkdown illicite;Illegal linkdown;
26280;Etat de connexion différent des spécific;Link status different from setting in pa;
10024;Vitesse de transmission illicite;Illegal transmission rate;
26408;Vitesse de transmission différente des s;Transmission rate different from setting;
10152;Duplexity illicite;Illegal duplexity;
26536;Duplexity différente des spécifications ;Duplexity different from setting in para;
10280;Surcharge de trames;Frame overload;
26664;Les télégrammes rejetés dépassent le seu;More or less discarded frames than set a;
9840;Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20070405@;Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20070405@;
26224;Aide : transmission de données impossibl;Help: Data transmission impossible; @5W%;
9904;Pas de connexion physique au port;No physical connection on port;
26288;Une surveillance de port a été configuré;Port monitoring was configured, there is;
9905;Erreur pour "Support de transmission/Duplex";Error with "Transfer medium/duplex";
26289;"Support de transmission / Duplex" a été;"Transfer medium / duplex" was configure;
9906;Erreur lors du test de longueur de câble;Error in cable length check;
26290;Causes possibles :
 - La longueur de câb;Possible causes:
 - The detected cable l;
9968;Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20070405@;Remote mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;
26352;Aide : erreur partenaire; @5W%t#A02A-SCA;Help: Remote mismatch; @5W%t#A02A-SCALAN;
10032;Partenaire incorrect;Wrong partner;
26416;Une connexion de port a été configurée, ;A port interconnection was configured bu;
10033;Port partenaire incorrect;Wrong partner port;
26417;Une connexion de port a été configurée, ;A port interconnection was configured bu;
10034;IRT (Top Performance) impossible sur ce port;IRT (top performance) not possible at this port;
26418;Causes possibles :
 - Autres erreurs de ;Possible causes:
 - Other communications;
10035;Incohérence pour "Support de transmission / Duplex";Inconsistency in "transmission medium / duplex";
26419;"Support de transmission/Duplex" a été c;"Transmission medium/duplex" was configu;
10036;Incohérence de la configuration MRP / du câblage;Inconsistent MRP configuration / wiring;
26420;Domaine MRP configuré ; la sélection loc;MRP domain was configured; the local set;
10037;Le voisin n'a pas pu être détecté;The neighbor could not be identified;
26421;Une connexion de port a été configurée, ;A port interconnection was configured bu;
10038;Incohérence de la configuration MRRT;Inconsistent MRRT configuration;
26422;L'attribut MRRT  a été configuré; les op;The MRRT feature was configured; the loc;
10039;Différence à la détermination de longueur de câble;Difference in cable length measurement;
26423;"Support de transmission / Duplex" a été;"Transmission medium / Duplex" was confi;
10048;Nom de domaine Sync utilisé plusieurs fois;Sync domain name used more than once;
26432;Deux domaines Sync de même nom ont été c;Two sync domains with the same name were;
10096;Erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20070405@;Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;
26480;Aide : erreur de redondance de supports ;Help: Media redundancy mismatch; @5W%t#A;
10160;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;Redundancy manager cannot adopt the configured role;
26544;Signifie que le gestionnaire de redondan;Indicates that the configured redundancy;
10161;Anneau ouvert;Ring opened;
26545;Indique que l'anneau est interrompu unil;Indicates that the ring has been interru;
10162;Redondance RT plus garantie;RT redundancy not effective;
26546;Indique que l'anneau n'est pas fermé pou;Indicates that the ring is not closed fo;
10163;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;There is more than one redundancy manager in the ring;
26547;Indique que plusieurs appareils assument;Indicates that more than one device in t;
10224;Perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20070405@;Sync mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;
26608;Aide : perte de synchronisation; @5W%t#A;Help: Sync mismatch; @5W%t#A02A-SCALANCE;
10288;L'esclave Sync ne sera pas synchronisé;Sync slave will not be synchronized;
26672;La station est un esclave Sync et n'est ;The station is a sync slave and it is no;
10291;Station non synchrone;Station not synchronized;
26675;La synchronisation se trouve hors de la ;Synchronization is outside the range of ;
10352;Erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20070405@;Isochrone mode mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;
26736;Aide : erreur de synchronisme d'horloge;;Help: Isochrone mode mismatch; @5W%t#A02;
10480;Erreur Multicast CR; @5W%t#A02A-SCALANCE_X200-20070405@;Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;
26864;Aide : Erreur CR Multicast; @5W%t#A02A-S;Help: Multicast CR mismatch; @5W%t#A02A-;
10608;réservé; @5W%t#A02A-SCALANCE_X200-20070405@;Reserved; @5W%t#A02A-SCALANCE_X200-20070405@;
26992;Aide : réservée; @5W%t#A02A-SCALANCE_X20;Help: Reserved; @5W%t#A02A-SCALANCE_X200;
10736;Erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20070405@;Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;
27120;Aide : erreur fibre optique; @5W%t#A02A-;Help: Fiber optics mismatch; @5W%t#A02A-;
10800;Réserve système FO critique;FO link power margin critical;
27184;La réserve système FO se trouve en -dess;The FO link power margin is below the @2;
10864;Erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20070405@;Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;
27248;Aide : erreur de fonctionnement du compo;Help: Network component function mismatc;
10928;Paquets de données rejetés pour surcharge;Data packets discarded due to overload;
27312;@2D%1d@ paquets de données au minimum on;At least @2D%1d@ data packets were disca;
10992;Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20070405@;Time mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;
27376;Aide : erreur de temporisation; @5W%t#A0;Help: Time mismatch; @5W%t#A02A-SCALANCE;
12032;Pas d'alimentation redondante;No redundant PS;
28416;Alarme arrivante en l'absence d'alimenta;Alarm entering state when there is no re;
12034;C-PLUG introuvable;C-PLUG not found;
28418;Alarme arrivante en l'absence de C-PLUG;Alarm entering state when no C-PLUG was ;
12036;C-PLUG défectueux;C-PLUG defective;
28420;Alarme arrivante lorsque le C-PLUG est d;Alarm entering state when C-PLUG is defe;
12038;Le C-PLUG est incorrect;wrong C-PLUG;
28422;Alarme apparaissante si aucun C-PLUG n'a;Incoming alarm when wrong C-PLUG is plug;
10504;;;
26888;;;
10632;Court-circuit;Short circuit;
27016;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
10760;Sous-tension;Low voltage;
27144;Contrôlez l'alimentation en tension.;Verify the power supply.;
10888;Surtension;Overvoltage;
27272;Contrôlez l'alimentation en tension.;Verify the power supply.;
11016;Surcharge;Overload;
27400;Contrôlez les caractéristiques technique;Check the technical specifications of th;
11144;Surchauffe;Overtemperature;
27528;Contrôlez les caractéristiques technique;Check the technical specifications of th;
11272;Rupture de fil;Wire break;
27656;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
11400;Limite supérieure dépassée;High limit exceeded;
27784;Contrôlez les caractéristiques technique;Check the technical specifications of th;
11528;Limite inférieure sous-dépassée;Low limit exceeded;
27912;Contrôlez les caractéristiques technique;Check the technical specifications of th;
11656;Erreur;Error;
28040;;;
11784;Simulation active;Simulation active;
28168;;;
11912;réservé;Reserved;
28296;;;
12040;réservé;Reserved;
28424;;;
12168;réservé;Reserved;
28552;;;
12296;réservé;Reserved;
28680;;;
12424;Paramètre manquant;Parameter missing;
28808;;;
12552;Erreur de paramétrage;Parameter assignment error;
28936;Cause : paramètres de module incorrects.;Cause: Bad module parameter. Remedy: Che;
12680;Absence de tension capteur ou de charge;Power supply fault;
29064;Cause : absence de tension d'alimentatio;Cause: No power supply. Remedy: Check wi;
12808;Fusible defectueux;Fuse blown / open;
29192;Cause : surcharge. Solution : supprimez ;Cause: Overload. Remedy: Remove cause of;
12936;Emplacement non accessible;Slot cannot be addressed;
29320;Cause : erreur de communication à cause ;Cause: Communication error with various ;
13064;Défaut à la masse;Ground fault;
29448;Cause : dépassement de la tension mode c;Cause: Common mode voltage exceeded or M;
13192;Erreur de voie de référence;Reference point list;
29576;Cause : erreur de voie de référence. Sol;Cause: Error on reference channel. Remed;
13320;Alarme de processus perdue;Process event lost / sampling error;
29704;Cause : alarme de processus. Solution : ;Cause: Hardware interrupt. Remedy: Chang;
13448;Avertissement actionneur;Threshold warning;
29832;Cause : actionneur signale un dépassemen;Cause: Actuator signaling a limit value ;
13576;Coupure actionneur;Output disabled;
29960;Cause : problème d'actionneur détecté. S;Cause: Problem detected on actuator. Rem;
13704;Arrêt de sécurité;Safety event;
30088;Cause : erreur de voie détectée. Solutio;Cause: Error detected on channel. Remedy;
13832;Défaut externe;External fault;
30216;Cause : Erreur de capteur/actionneur dét;Cause: Problem detected on sensor/actuat;
13960;Défaut non spécifié;Unidentified error;
