//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;
$_Languages;;;
7(5) German (Liechtenstein);9(1) English (United States);12(1) French (France);
22984;More or less discarded frames than set as threshold value in parameter data record 2;Les télégrammes rejetés dépassent le seuil spécifié dans l'enregistrement de paramétrage 2;
4416;Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20070405@;Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20070405@;
20800;Help: Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20070405@;
5920;No physical connection on port;Pas de connexion physique au port;
22304;Port monitoring was configured, there is however no physical connection on the port.
 Possible causes:
 - No cable plugged in
 - Cable defective
 - Wrong cable with fixed port settings
 - Partner device turned off;Une surveillance de port a été configurée, mais il n'existe pas de connexion physique au port.
 Causes possibles :
 - pas de câble enfiché
 - câble défectueux
 - câble incorrect pour paramètres de port fixes
 - appareil partenaire désactivé;
5921;Error with "Transfer medium/duplex";Erreur pour "Support de transmission/Duplex";
22305;"Transfer medium / duplex" was configured; the current port setting resulting from autonegotiation does not match the configured setting.
 Possible causes:
 - The partner is operating with a fixed but different port setting
 - The partner does not support ;"Support de transmission / Duplex" a été configuré ; la sélection de port déterminée par Autonegotiation ne correspond pas à la configuration.
 Causes possibles :
 - le partenaire fonctionne avec une présélection fixe de port
 - le partenaire ne prend pas ;
5922;Error during cable data check;Erreur à la vérification des données de câble;
22306;Possible causes:
 - The discovered cable length is longer than the one configured.
 - The actual cabling does not match the configured port interconnection.
 - The cable data could not be checked because the partner does not support cable length measuremen;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 - Le câblage réel ne correspond pas à la connexion du port configurée.
 - Les données de câble ne peuvent pas être contrôlées, car le partenaire ne prend pas en charge la mesur;
7424;Remote mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20070405@;
23808;Help: Remote mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : erreur partenaire; @5W%t#A02A-SCALANCE_X200-20070405@;
8928;Wrong partner;Partenaire incorrect;
25312;A port interconnection was configured but a different partner was detected at the port.
Remedies:
 - Adapt the cabling of the configured port interconnection
 - Adopt the device name of the partner in the port interconnection;Une connexion de port a été configurée, un autre partenaire a été déterminé pour le port.
Solutions :
 - modifier le câblage de la connexion de port
 - écrire le nom du partenaire dans la connexion de port;
8929;Wrong partner port;Port partenaire incorrect;
25313;A port interconnection was configured but a different partner port was detected at the port.

 Remedy:
 - Adapt the cabling of the configured port interconnection
 - Adapt the port interconnection in the configuration;Une connexion de port a été configurée, un autre port partenaire a été déterminée pour le port.

 Solutions :
 - modifier le câblage de la connexion de port configurée
 - modifier la connexion de port dans la configuration;
8930;IRT (top performance) not possible at this port;IRT (Top Performance) impossible sur ce port;
25314;Possible causes:
 - Other communications errors on this or on the partner port are preventing IRT (remedy: refer to other diagnostic information, eliminate these problems first)
 - Partner port is not correctly configured for IRT mode, i.e. bad or old conf;Causes possibles :
 - Autres erreurs de communication sur ce port ou sur le port partenaire empêchent IRT (solution : voir autres diagnostics, remédier d'abord à ceux-ci)
 - port partenaire configuré incorrect pour le mode IRT, c-à-d. configuration manquan;
8931;Inconsistency in "transmission medium / duplex";Incohérence pour "Support de transmission / Duplex";
25315;"Transmission medium/duplex" was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The partner is operating with fixed but different port settings
 - Media converter, hub or non PNIO compliant de;"Support de transmission/Duplex" a été configuré ; les options sélectionnées pour le port ne sont pas compatibles avec celles sélectionnées pour le port partenaire.
 Causes possibles :
 - Le partenaire fonctionne avec des options fixes prédéfinies différen;
8932;Inconsistent MRP configuration / wiring;Incohérence de la configuration MRP / du câblage;
25316;MRP domain was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The ports are incorrectly connected; a ring port was connected to a non-ring port
 - The partner has no or an unsuitable configura;Domaine MRP configuré ; la sélection locale du port ne correspond pas à celle du port partenaire.
 Causes possibles :
 - les ports ne sont pas correctement connectés; un port anneau est connecté à un port non anneau
 - le partenaire n'a pas de configuratio;
8933;The neighbor could not be identified;Le voisin n'a pas pu être détecté;
25317;A port interconnection was configured but a single partner was not detected at the port.
 Possible causes:
 - Non PNIO compliant device connected to this port
 - Port interconnection configured but no device connected or partner device turned off, cable de;Une connexion de port a été configurée, un partenaire précis n'a pas été détecté pour le port.
 Causes possibles :
 - appareil non conforme PN-IO connecté à ce port
 - connexion de port configurée, mais aucun appareil connecté ou appareil partenaire désact;
8934;Inconsistent MRRT configuration;Incohérence de la configuration MRRT;
25318;The MRRT feature was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The partner has no or an unsuitable configuration
 - The partner does not support the MRRT feature;L'attribut MRRT  a été configuré; les options sélectionnées pour le port ne sont pas compatibles avec celles du port partenaire.
 Causes possibles :
 - Le partenaire n'a pas de configuration ou a une configuration incompatible
 - Le partenaire ne prend pas;
8935;Difference in cable length measurement;Différence à la détermination de longueur de câble;
25319;"Transmission medium / Duplex" was configured. The two partners have cable lengths that differ by @2D%1d@ ns. Possible causes may be:
 - Use of media converter
 - Non PN-IO conform device connected to this port

 Remedy: Adapt configuration and select "Aut;"Support de transmission / Duplex" a été configuré. Les deux partenaires ont déterminé des longueurs de câble différentes de @2D%1d@ ns. Des causes possibles sont :
 - Utilisation du convertisseur de supports de transmission
 - Appareil non conforme à PN-I;
9304;Sync domain name used more than once;Nom de domaine Sync utilisé plusieurs fois;
25688;Two sync domains with the same name were configured in the Ethernet subnet.
Remedy: Adapt the configuration
- Separate multiple sync domains with end of the sync domain boundaries (this is a basic recommendation to limit the propagation of the multicast fr;Deux domaines Sync de même nom ont été configurés dans le réseau Ethernet.
Solution : modifier la configuration
- séparer plusieurs domaines Sync par des fins de Boundaries (recommandation de principe pour limiter la propagation des télégrammes Multicastfr;
10432;Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20070405@;
26816;Help: Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20070405@;
11936;Redundancy manager cannot adopt the configured role;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;
28320;Indicates that the configured redundancy manager adopts the role of client, another higher-priority redundancy manager has taken over the role of manager and is monitoring the ring.
Remedy: Configure the client role on all devices that are not intended to ;Signifie que le gestionnaire de redondance configuré remplit le rôle de client et qu'un gestionnaire de redondance ayant une plus haute priorité assume le rôle de gestionnaire et surveille l'anneau.
Solution : Configurez pour tous les appareils ne devant p;
11937;Ring opened;Anneau ouvert;
28321;Indicates that the ring has been interrupted. Redundancy is no longer effective.
Possible causes:
 - A connecting cable between ring ports is defective.
 Remedy: Replace defective ring cable;Indique que l'anneau est interrompu unilatéralement. La redondance n'est plus garantie.
Causes possibles :
 - un câble de liaison entre les deux ports anneau est défectueux.
 Solution : remplacer le câble anneau défectueux;
11938;RT redundancy not effective;Redondance RT plus garantie;
28322;Indicates that the ring is not closed for RT communication. Possible causes:
 - There are one or more stations in the ring that support NRT ring redundancy but not RT redundancy
 - One or more stations support RT redundancy however they were not enabled.
 ;Indique que l'anneau n'est pas fermé pour la communication RT. Causes possibles :
 - une ou plusieurs stations dans l'anneau prennent en charge la redondance NRT mais pas la redondance RT de l'anneau
 - une ou plusieurs stations prennent en charge la redon;
11939;There is more than one redundancy manager in the ring;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;
28323;Indicates that more than one device in the ring adopts the redundancy manager role. The ring status is unstable.
Possible causes:
 There is a device in the ring that only supports the redundancy manager role along with devices with automatic manager/client;Indique que plusieurs appareils assument le rôle de gestionnaire de redondance dans l'anneau. L'état de l'anneau est instable.
Causes possibles :
 au sein de l'anneau se trouve un appareil prenant en charge le rôle de gestionnaire de redondance et des appa;
13440;Sync mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20070405@;
29824;Help: Sync mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20070405@;
14944;Sync slave will not be synchronized;L'esclave Sync ne sera pas synchronisé;
31328;The station is a sync slave and it is not synchronized.
Possible causes:
 - The sync master is not available (Remedy: Turn on sync master, check cable)
 - there are devices that are not sync-compliant between the sync master and this station (Remedy: Adapt;La station est un esclave Sync et n'est pas synchronisée.
Causes possibles :
 - le maître Sync n'est pas disponible (solution : activer le maître Sync, contrôler le câble)
 - entre le maître Sync et cette station se trouvent des appareils ne prenant pas en;
14947;Station not synchronized;Station non synchrone;
31331;Synchronization is outside the range of tolerance; the reference signal is not accurate enough.
Possible causes:
 - Station resynchronizes itself; this is a temporary status
 - The reference signal loses its required accuracy on the transmission path (reme;La synchronisation se trouve hors de la plage de tolérance ; le signal de référence ne possède pas la précision requise.
Causes possibles :
 - la station se synchronise de nouveau; ceci est un état temporaire
 - le signal de référence perd sa précision req;
136;Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20070405@;
16520;Help: Isochronous mode mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20070405@;
3144;Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Erreur Multicast CR; @5W%t#A02A-SCALANCE_X200-20070405@;
19528;Help: Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : Erreur CR Multicast; @5W%t#A02A-SCALANCE_X200-20070405@;
6152;Reserved; @5W%t#A02A-SCALANCE_X200-20070405@;réservé; @5W%t#A02A-SCALANCE_X200-20070405@;
22536;Help: Reserved; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : réservée; @5W%t#A02A-SCALANCE_X200-20070405@;
9160;Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20070405@;
25544;Help: Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20070405@;
10664;FO link power margin critical;Réserve système FO critique;
27048;The FO link power margin is below the @2D%1d@ dB threshold
Remedy: Clean or replace the FO cabling immediately;La réserve système FO se trouve en -dessous du seuil @2D%1d@ dB 
Solution : nettoyer ou remplacer le câblage FO;
12168;Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20070405@;
28552;Help: Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20070405@;
13672;Data packets discarded due to overload;Paquets de données rejetés pour surcharge;
30056;At least @2D%1d@ data packets were discarded due to a lack of resources.
Possible causes:
 - High bandwidth reservation for IRT and additional NRT load (Remedy: reduce bandwidth reservation)
 - Bundling of small communication load from various sources on o;@2D%1d@ paquets de données au minimum ont été rejetés en raison d'un manque temporaire de ressources.
Causes possibles :
 - réservation de largeur de bande pour IRT et charge supplémentaire NRT (solution : réserver une largeur de bande moins grande)
 - reg;
15176;Time mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20070405@;
31560;Help: Time mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Aide : erreur de temporisation; @5W%t#A02A-SCALANCE_X200-20070405@;
12400;Inconsistent configuration / specification of the standard gateway;Configuration incohérente/Spécification du routeur par défaut;
28784;A standard gateway has been configured for at least one additional interface that differs from the one specified.
Caution: For this device it is not clear which of the configured standard gateways will be active.;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
Attention : Il n'est pas possible de dire quel routeur par défaut sera utilisé pour cet appareil !;
12401;Inconsistent configuration/specification of the NameOfStation;Configuration incohérente/Spécification du NameOfStation;
28785;A NameOfStation which is identical to the specification for this interface has already been configured/specified for another interface of this module.;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce module. Il est identique au nom par défaut de cette interface.;
12402;Inconsistent configuration/specification of the IP address;Configuration incohérente/Spécification de l'adresse IP;
28786;An IP address which is in the same subnet as the IP address of this interface has already been configured/assigned for another interface.;Une adresse IP a déjà été configurée/attribuée pour une autre interface. Elle se trouve dans le même sous-réseau que l'adresse IP de cette interface.;
6992;No redundant PS;Pas d'alimentation redondante;
23376;Alarm entering state when there is no redundant PS;Alarme arrivante en l'absence d'alimentation redondante;
6994;C-PLUG not found;C-PLUG introuvable;
23378;Alarm entering state when no C-PLUG was inserted;Alarme arrivante en l'absence de C-PLUG;
6996;C-PLUG defective;C-PLUG défectueux;
23380;Alarm entering state when C-PLUG is defective;Alarme arrivante lorsque le C-PLUG est défectueux;
6998;wrong C-PLUG;Le C-PLUG est incorrect;
23382;Incoming alarm when wrong C-PLUG is plugged in;Alarme apparaissante si aucun C-PLUG n'a incorrect;
7936;;;
24320;;;
10944;Short circuit;Court-circuit;
27328;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
13952;Low voltage;Sous-tension;
30336;Verify the power supply.;Contrôlez l'alimentation en tension.;
648;Overvoltage;Surtension;
17032;Verify the power supply.;Contrôlez l'alimentation en tension.;
3656;Overload;Surcharge;
20040;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
6664;Overtemperature;Surchauffe;
23048;Check the technical specifications of the connected components.;Contrôlez les caractéristiques techniques des composants liés.;
9672;Wire break;Rupture de fil;
26056;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
12680;High limit exceeded;Limite supérieure dépassée;
29064;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
15688;Low limit exceeded;Limite inférieure sous-dépassée;
32072;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
2384;Error;Erreur;
18768;;;
5392;Simulation active;Simulation active;
21776;;;
8400;Reserved;réservé;
24784;;;
11408;Reserved;réservé;
27792;;;
14416;Reserved;réservé;
30800;;;
1112;Reserved;réservé;
17496;;;
4120;Parameter missing;Paramètre manquant;
20504;;;
7128;Parameter assignment error;Erreur de paramétrage;
23512;Cause: Bad module parameter. Remedy: Check and correct parameter. Then reload.;Cause : paramètres de module incorrects. Solution : vérifiez et corrigez les paramètres. Rechargez ensuite les paramètres.;
10136;Power supply fault;Absence de tension capteur ou de charge;
26520;Cause: No power supply. Remedy: Check wiring or turn on power supply.;Cause : absence de tension d'alimentation. Solution : vérifiez le câblage ou branchez l'alimentation.;
13144;Fuse blown / open;Fusible defectueux;
29528;Cause: Overload. Remedy: Remove cause of overload. The replace fuse.;Cause : surcharge. Solution : supprimez la cause de la surcharge. Remplacez ensuite le fusible.;
16152;Slot cannot be addressed;Emplacement non accessible;
32536;Cause: Communication error with various possible causes. Remedy: Depends on cause.;Cause : erreur de communication à cause multiple. Solution : dépend de la cause.;
2848;Ground fault;Défaut à la masse;
19232;Cause: Common mode voltage exceeded or M cable disconnected. Remedy: Check wiring and correct.;Cause : dépassement de la tension mode commun ou rupture du câble M. Solution : vérifiez et corrigez le câblage.;
5856;Reference point list;Erreur de voie de référence;
22240;Cause: Error on reference channel. Remedy: See manual.;Cause : erreur de voie de référence. Solution : voir le manuel.;
8864;Process event lost / sampling error;Alarme de processus perdue;
25248;Cause: Hardware interrupt. Remedy: Change interrupt handling of the CPU or change parameter assignment of  module.;Cause : alarme de processus. Solution : modifiez le traitement de l'alarme par la CPU ou modifiez le paramétrage du module.;
11872;Threshold warning;Avertissement actionneur;
28256;Cause: Actuator signaling a limit value violation. Remedy: Check interaction of module and actuator.;Cause : actionneur signale un dépassement d'une valeur limite. Solution : vérifiez la compatibilité du module et de l'actionneur.;
14880;Output disabled;Coupure actionneur;
31264;Cause: Problem detected on actuator. Remedy: Find and eliminate cause.;Cause : problème d'actionneur détecté. Solution : supprimez la cause du problème.;
1576;Safety event;Arrêt de sécurité;
17960;Cause: Error detected on channel. Remedy: Check channel and correct problem..;Cause : erreur de voie détectée. Solution : vérifiez la voie et supprimez l'erreur.;
4584;External fault;Défaut externe;
20968;Cause: Problem detected on sensor/actuator. Remedy: Replace sensor/actuator or check wiring.;Cause : Erreur de capteur/actionneur détectée. Solution : remplacez le capteur/actionneur ou vérifiez le câblage.;
7592;Unidentified error;Défaut non spécifié;
23976;Cause: Cannot be specified in greater detail. Remedy: See manual.;Cause : ne peut être spécifiée. Solution : voir le manuel.;
10600;Reserved;réservé;
26984;;;
13608;Fault 1 in actuator/sensor;Erreur 1 dans actionneur / capteur;
29992;;;
304;Fault 2 in actuator/sensor;Erreur 2 dans actionneur / capteur;
16688;;;
3312;Temporary error;Erreur temporaire;
19696;;;
1472;Illegal linkup;Linkup illicite;
17856;Link status different from setting in parameter data record 200;Etat de connexion différent des spécifications de l'enregistrement de paramétrage 200;
4480;Illegal linkdown;Linkdown illicite;
20864;Link status different from setting in parameter data record 200;Etat de connexion différent des spécifications de l'enregistrement de paramétrage 200;
7488;Illegal transmission rate;Vitesse de transmission illicite;
23872;Transmission rate different from setting in parameter data record 3;Vitesse de transmission différente des spécifications de l'enregistrement de paramétrage 3;
10496;Illegal duplexity;Duplexity illicite;
26880;Duplexity different from setting in parameter data record 3;Duplexity différente des spécifications de l'enregistrement de paramétrage 3;
13504;Frame overload;Surcharge de trames;
29888;More or less discarded frames than set as threshold value in parameter data record 2;Les télégrammes rejetés dépassent le seuil spécifié dans l'enregistrement de paramétrage 2;
11320;Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20090303@;Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20090303@;
27704;Help: Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20090303@;Aide : transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20090303@;
12824;No physical connection on port;Pas de connexion physique au port;
29208;Port monitoring was configured, there is however no physical connection on the port.
 Possible causes:
 - No cable plugged in
 - Cable defective
 - Wrong cable with fixed port settings
 - Partner device turned off;Une surveillance de port a été configurée, mais il n'existe pas de connexion physique au port.
 Causes possibles :
 - pas de câble enfiché
 - câble défectueux
 - câble incorrect pour paramètres de port fixes
 - appareil partenaire désactivé;
12825;Error with "Transfer medium/duplex";Erreur pour "Support de transmission/Duplex";
29209;"Transfer medium / duplex" was configured; the current port setting resulting from autonegotiation does not match the configured setting.
 Possible causes:
 - The partner is operating with a fixed but different port setting
 - The partner does not support ;"Support de transmission / Duplex" a été configuré ; la sélection de port déterminée par Autonegotiation ne correspond pas à la configuration.
 Causes possibles :
 - le partenaire fonctionne avec une présélection fixe de port
 - le partenaire ne prend pas ;
12826;Error during cable data check;Erreur à la vérification des données de câble;
29210;Possible causes:
 - The discovered cable length is longer than the one configured.
 - The actual cabling does not match the configured port interconnection.
 - The cable data could not be checked because the partner does not support cable length measuremen;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 - Le câblage réel ne correspond pas à la connexion du port configurée.
 - Les données de câble ne peuvent pas être contrôlées, car le partenaire ne prend pas en charge la mesur;
14328;Remote mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20090303@;
30712;Help: Remote mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;Aide : erreur partenaire; @5W%t#A02A-SCALANCE_X200-20090303@;
15832;Wrong partner;Partenaire incorrect;
32216;A port interconnection was configured but a different partner was detected at the port.
Remedies:
 - Adapt the cabling of the configured port interconnection
 - Adopt the device name of the partner in the port interconnection;Une connexion de port a été configurée, un autre partenaire a été déterminé pour le port.
Solutions :
 - modifier le câblage de la connexion de port
 - écrire le nom du partenaire dans la connexion de port;
15833;Wrong partner port;Port partenaire incorrect;
32217;A port interconnection was configured but a different partner port was detected at the port.

 Remedy:
 - Adapt the cabling of the configured port interconnection
 - Adapt the port interconnection in the configuration;Une connexion de port a été configurée, un autre port partenaire a été déterminée pour le port.

 Solutions :
 - modifier le câblage de la connexion de port configurée
 - modifier la connexion de port dans la configuration;
15834;IRT (top performance) not possible at this port;IRT (Top Performance) impossible sur ce port;
32218;Possible causes:
 - Other communications errors on this or on the partner port are preventing IRT (remedy: refer to other diagnostic information, eliminate these problems first)
 - Partner port is not correctly configured for IRT mode, i.e. bad or old conf;Causes possibles :
 - Autres erreurs de communication sur ce port ou sur le port partenaire empêchent IRT (solution : voir autres diagnostics, remédier d'abord à ceux-ci)
 - port partenaire configuré incorrect pour le mode IRT, c-à-d. configuration manquan;
